archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Dimir Tempo,0.52461951656222,1117,0.49,0.55,/Legacy/dimir-tempo
Izzet Cutter,0.49090909090909,770,0.46,0.53,/Legacy/izzet-cutter
Eldrazi Stompy,0.51321279554937,719,0.48,0.55,/Legacy/eldrazi-stompy
Doomsday,0.53131749460043,463,0.48,0.58,/Legacy/doomsday
Sneak and Show,0.45852534562212,434,0.41,0.51,/Legacy/sneak-and-show
Show and Tell,0.48717948717949,429,0.44,0.54,/Legacy/show-and-tell
Affinity,0.52718676122931,423,0.48,0.58,/Legacy/affinity
UWx Stoneblade,0.54972375690608,362,0.5,0.6,/Legacy/uwx-stoneblade
Blue Cloudpost,0.50833333333333,360,0.46,0.56,/Legacy/blue-cloudpost
Cradle Control,0.52380952380952,336,0.47,0.58,/Legacy/cradle-control
Mystic Forge Combo,0.48203592814371,334,0.43,0.54,/Legacy/mystic-forge-combo
Oops! All Spells,0.54045307443366,309,0.48,0.6,/Legacy/oops-all-spells
Lands.dec,0.56,300,0.5,0.62,/Legacy/lands-dec
Reanimator,0.4982206405694,281,0.44,0.56,/Legacy/reanimator
Death & Taxes,0.52777777777778,252,0.46,0.59,/Legacy/death-taxes
Painter Grindstone,0.46086956521739,230,0.4,0.53,/Legacy/painter-grindstone
Mono Red Prison,0.43367346938776,196,0.36,0.51,/Legacy/mono-red-prison
Bant Beanstalk,0.51851851851852,189,0.44,0.59,/Legacy/bant-beanstalk
Ad Nauseam Tendrils,0.53142857142857,175,0.45,0.61,/Legacy/ad-nauseam-tendrils
Domain Beanstalk,0.50574712643678,174,0.43,0.58,/Legacy/domain-beanstalk
Cephalid Breakfast,0.48275862068966,145,0.4,0.57,/Legacy/cephalid-breakfast
UWx Control,0.48611111111111,144,0.4,0.57,/Legacy/uwx-control
Grixis Tempo,0.46376811594203,138,0.38,0.55,/Legacy/grixis-tempo
The EPIC Storm,0.39495798319328,119,0.31,0.49,/Legacy/the-epic-storm
Mardu Ocelot,0.58407079646018,113,0.49,0.68,/Legacy/mardu-ocelot
UR Tempo,0.48076923076923,104,0.38,0.58,/Legacy/ur-tempo
Stiflenought,0.4,100,0.3,0.5,/Legacy/stiflenought
Ruby Storm,0.55102040816327,98,0.45,0.65,/Legacy/ruby-storm
Boros Initiative,0.43877551020408,98,0.34,0.54,/Legacy/boros-initiative
Orzhov Ozelot,0.52272727272727,88,0.41,0.63,/Legacy/orzhov-ozelot
Goblins,0.40697674418605,86,0.3,0.52,/Legacy/goblins
