a,b,winrate_a_vs_b,matches,ci_low,ci_high
Dimir Tempo,Dimir Tempo,0.5,174,0.42,0.58
Dimir Tempo,Izzet Cutter,0.55,152,0.47,0.63
Dimir Tempo,Eldrazi Stompy,0.47,97,0.37,0.58
Dimir Tempo,Show and Tell,0.56,71,0.44,0.68
Dimir Tempo,Blue Cloudpost,0.47,73,0.35,0.59
Dimir Tempo,Doomsday,0.53,70,0.41,0.65
Dimir Tempo,Sneak and Show,0.64,64,0.51,0.76
Dimir Tempo,Mystic Forge Combo,0.58,64,0.45,0.7
Dimir Tempo,Affinity,0.37,46,0.23,0.52
Dimir Tempo,Cradle Control,0.5,64,0.37,0.63
Dimir Tempo,Lands.dec,0.46,46,0.31,0.61
Dimir Tempo,Death & Taxes,0.32,44,0.19,0.48
Dimir Tempo,Oops! All Spells,0.5,34,0.32,0.68
Dimir Tempo,UWx Control,0.58,52,0.43,0.71
Dimir Tempo,Reanimator,0.66,41,0.49,0.8
Dimir Tempo,UWx Stoneblade,0.45,44,0.3,0.61
Dimir Tempo,Painter Grindstone,0.6,40,0.43,0.75
Dimir Tempo,Mono Red Prison,0.55,38,0.38,0.71
Dimir Tempo,Cephalid Breakfast,0.5,32,0.32,0.68
Dimir Tempo,Bant Beanstalk,0.52,29,0.33,0.71
Dimir Tempo,Ad Nauseam Tendrils,0.59,34,0.41,0.75
Dimir Tempo,Domain Beanstalk,0.55,42,0.39,0.7
Dimir Tempo,Grixis Tempo,0.71,31,0.52,0.86
Dimir Tempo,The EPIC Storm,0.77,13,0.46,0.95
Dimir Tempo,Mardu Ocelot,0.39,23,0.2,0.61
Dimir Tempo,UR Tempo,0.75,12,0.43,0.95
Dimir Tempo,Stiflenought,0.73,15,0.45,0.92
Dimir Tempo,Boros Initiative,0.6,20,0.36,0.81
Dimir Tempo,Hogaak,0.69,16,0.41,0.89
Dimir Tempo,Maverick,0.6,15,0.32,0.84
Dimir Tempo,Green Post,0.55,11,0.23,0.83
Dimir Tempo,Dredge,0.27,15,0.08,0.55
Dimir Tempo,Goblins,0.43,14,0.18,0.71
Dimir Tempo,Sultai Beanstalk,0.33,18,0.13,0.59
Dimir Tempo,Beseech Storm,0.54,13,0.25,0.81
Dimir Tempo,Orzhov Ozelot,0.27,11,0.06,0.61
Dimir Tempo,Ruby Storm,0.83,6,0.36,1.0
Dimir Tempo,Burn,0.5,2,0.01,0.99
Dimir Tempo,Infect,0.88,8,0.47,1.0
Dimir Tempo,Mono Black,0.6,5,0.15,0.95
Dimir Tempo,Boros Energy,0.36,14,0.13,0.65
Dimir Tempo,Temur Tempo,0.36,11,0.11,0.69
Dimir Tempo,Esper Vial,0.71,7,0.29,0.96
Izzet Cutter,Dimir Tempo,0.45,152,0.37,0.53
Izzet Cutter,Izzet Cutter,0.5,124,0.41,0.59
Izzet Cutter,Eldrazi Stompy,0.51,83,0.39,0.62
Izzet Cutter,Show and Tell,0.46,57,0.32,0.59
Izzet Cutter,Blue Cloudpost,0.47,58,0.33,0.6
Izzet Cutter,Doomsday,0.58,53,0.44,0.72
Izzet Cutter,Sneak and Show,0.52,54,0.38,0.66
Izzet Cutter,Mystic Forge Combo,0.63,56,0.49,0.75
Izzet Cutter,Affinity,0.5,28,0.31,0.69
Izzet Cutter,Cradle Control,0.38,39,0.23,0.55
Izzet Cutter,Lands.dec,0.51,35,0.34,0.69
Izzet Cutter,Death & Taxes,0.4,43,0.25,0.56
Izzet Cutter,Oops! All Spells,0.62,39,0.45,0.77
Izzet Cutter,UWx Control,0.61,38,0.43,0.76
Izzet Cutter,Reanimator,0.41,39,0.26,0.58
Izzet Cutter,UWx Stoneblade,0.45,40,0.29,0.62
Izzet Cutter,Painter Grindstone,0.49,37,0.32,0.66
Izzet Cutter,Mono Red Prison,0.31,13,0.09,0.61
Izzet Cutter,Cephalid Breakfast,0.52,21,0.3,0.74
Izzet Cutter,Bant Beanstalk,0.52,21,0.3,0.74
Izzet Cutter,Ad Nauseam Tendrils,0.37,27,0.19,0.58
Izzet Cutter,Domain Beanstalk,0.19,26,0.07,0.39
Izzet Cutter,Grixis Tempo,0.47,19,0.24,0.71
Izzet Cutter,The EPIC Storm,0.54,24,0.33,0.74
Izzet Cutter,Mardu Ocelot,0.35,17,0.14,0.62
Izzet Cutter,UR Tempo,0.45,11,0.17,0.77
Izzet Cutter,Stiflenought,0.5,12,0.21,0.79
Izzet Cutter,Boros Initiative,0.67,9,0.3,0.93
Izzet Cutter,Hogaak,0.38,13,0.14,0.68
Izzet Cutter,Maverick,0.75,8,0.35,0.97
Izzet Cutter,Green Post,0.43,7,0.1,0.82
Izzet Cutter,Dredge,0.25,12,0.05,0.57
Izzet Cutter,Goblins,0.43,7,0.1,0.82
Izzet Cutter,Sultai Beanstalk,0.3,10,0.07,0.65
Izzet Cutter,Beseech Storm,0.63,8,0.24,0.91
Izzet Cutter,Orzhov Ozelot,0.4,10,0.12,0.74
Izzet Cutter,Ruby Storm,0.86,7,0.42,1.0
Izzet Cutter,Burn,0.73,11,0.39,0.94
Izzet Cutter,Infect,0.6,10,0.26,0.88
Izzet Cutter,Mono Black,1.0,2,0.16,1.0
Izzet Cutter,Boros Energy,0.29,7,0.04,0.71
Izzet Cutter,Temur Tempo,1.0,3,0.29,1.0
Izzet Cutter,Esper Vial,0.67,6,0.22,0.96
Eldrazi Stompy,Dimir Tempo,0.53,97,0.42,0.63
Eldrazi Stompy,Izzet Cutter,0.49,83,0.38,0.61
Eldrazi Stompy,Eldrazi Stompy,0.5,64,0.37,0.63
Eldrazi Stompy,Show and Tell,0.51,37,0.34,0.68
Eldrazi Stompy,Blue Cloudpost,0.65,49,0.5,0.78
Eldrazi Stompy,Doomsday,0.5,46,0.35,0.65
Eldrazi Stompy,Sneak and Show,0.34,35,0.19,0.52
Eldrazi Stompy,Mystic Forge Combo,0.48,33,0.31,0.66
Eldrazi Stompy,Affinity,0.52,27,0.32,0.71
Eldrazi Stompy,Cradle Control,0.38,29,0.21,0.58
Eldrazi Stompy,Lands.dec,0.52,23,0.31,0.73
Eldrazi Stompy,Death & Taxes,0.38,16,0.15,0.65
Eldrazi Stompy,Oops! All Spells,0.52,21,0.3,0.74
Eldrazi Stompy,UWx Control,0.58,24,0.37,0.78
Eldrazi Stompy,Reanimator,0.5,30,0.31,0.69
Eldrazi Stompy,UWx Stoneblade,0.63,32,0.44,0.79
Eldrazi Stompy,Painter Grindstone,0.44,18,0.22,0.69
Eldrazi Stompy,Mono Red Prison,0.43,14,0.18,0.71
