archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Dimir Tempo,0.54787234042553,376,0.5,0.6,/Legacy/dimir-tempo
Izzet Cutter,0.50279329608939,179,0.43,0.58,/Legacy/izzet-cutter
Eldrazi Stompy,0.52702702702703,148,0.44,0.61,/Legacy/eldrazi-stompy
Lands.dec,0.53472222222222,144,0.45,0.62,/Legacy/lands-dec
Doomsday,0.47692307692308,130,0.39,0.57,/Legacy/doomsday
Cradle Control,0.60769230769231,130,0.52,0.69,/Legacy/cradle-control
Painter Grindstone,0.51818181818182,110,0.42,0.61,/Legacy/painter-grindstone
Affinity,0.5045871559633,109,0.41,0.6,/Legacy/affinity
Domain Beanstalk,0.54455445544554,101,0.44,0.64,/Legacy/domain-beanstalk
Sneak and Show,0.4468085106383,94,0.34,0.55,/Legacy/sneak-and-show
UWx Stoneblade,0.64130434782609,92,0.53,0.74,/Legacy/uwx-stoneblade
UWx Control,0.38461538461538,91,0.28,0.49,/Legacy/uwx-control
Show and Tell,0.46666666666667,90,0.36,0.57,/Legacy/show-and-tell
Mardu Ocelot,0.56666666666667,90,0.46,0.67,/Legacy/mardu-ocelot
Aluren,0.5,86,0.39,0.61,/Legacy/aluren
Death & Taxes,0.59756097560976,82,0.48,0.7,/Legacy/death-taxes
The EPIC Storm,0.46341463414634,82,0.35,0.58,/Legacy/the-epic-storm
Reanimator,0.51388888888889,72,0.39,0.63,/Legacy/reanimator
Oops! All Spells,0.43055555555556,72,0.31,0.55,/Legacy/oops-all-spells
Mono Red Prison,0.46376811594203,69,0.34,0.59,/Legacy/mono-red-prison
Bant Beanstalk,0.55882352941176,68,0.43,0.68,/Legacy/bant-beanstalk
Ad Nauseam Tendrils,0.62686567164179,67,0.5,0.74,/Legacy/ad-nauseam-tendrils
Goblins,0.41071428571429,56,0.28,0.55,/Legacy/goblins
Mystic Forge Combo,0.51020408163265,49,0.36,0.66,/Legacy/mystic-forge-combo
Blue Cloudpost,0.46808510638298,47,0.32,0.62,/Legacy/blue-cloudpost
Grixis Tempo,0.31818181818182,44,0.19,0.48,/Legacy/grixis-tempo
Boros Energy,0.72727272727273,44,0.57,0.85,/Legacy/boros-energy
Mono Black,0.47222222222222,36,0.3,0.65,/Legacy/mono-black
Ruby Storm,0.48484848484848,33,0.31,0.66,/Legacy/ruby-storm
Dredge,0.53125,32,0.35,0.71,/Legacy/dredge
Rakdos Moonshadow,0.51724137931034,29,0.33,0.71,/Legacy/rakdos-moonshadow
GWx Depths,0.46153846153846,26,0.27,0.67,/Legacy/gwx-depths
Burn,0.33333333333333,24,0.16,0.55,/Legacy/burn
Hogaak,0.5,24,0.29,0.71,/Legacy/hogaak
UBx Death's Shadow,0.43478260869565,23,0.23,0.66,/Legacy/ubx-death-s-shadow
Cephalid Breakfast,0.54545454545455,22,0.32,0.76,/Legacy/cephalid-breakfast
Smallpox,0.36363636363636,22,0.17,0.59,/Legacy/smallpox
Mono Black Necro,0.36363636363636,22,0.17,0.59,/Legacy/mono-black-necro
BUG,0.47619047619048,21,0.26,0.7,/Legacy/bug
Stiflenought,0.63157894736842,19,0.38,0.84,/Legacy/stiflenought
Mono Black Helm,0.52631578947368,19,0.29,0.76,/Legacy/mono-black-helm
UR Tempo,0.33333333333333,18,0.13,0.59,/Legacy/ur-tempo
Green Post,0.4375,16,0.2,0.7,/Legacy/green-post
Naya Initiative,0.42857142857143,14,0.18,0.71,/Legacy/naya-initiative
Gruul Initiative,0.42857142857143,14,0.18,0.71,/Legacy/gruul-initiative
Maverick,0.076923076923077,13,0.0,0.36,/Legacy/maverick
Mind's Desire,0.41666666666667,12,0.15,0.72,/Legacy/mind-s-desire
High Tide,0.18181818181818,11,0.02,0.52,/Legacy/high-tide
Temur Tempo,0.45454545454545,11,0.17,0.77,/Legacy/temur-tempo
Boros Initiative,0.27272727272727,11,0.06,0.61,/Legacy/boros-initiative
Sultai Beanstalk,0.54545454545455,11,0.23,0.83,/Legacy/sultai-beanstalk
Bant Control,0.5,10,0.19,0.81,/Legacy/bant-control
Loam Pox,0.2,10,0.03,0.56,/Legacy/loam-pox
Nic Fit,0.44444444444444,9,0.14,0.79,/Legacy/nic-fit
Elves,0.25,8,0.03,0.65,/Legacy/elves
Merfolk,0.42857142857143,7,0.1,0.82,/Legacy/merfolk
Jund,0.42857142857143,7,0.1,0.82,/Legacy/jund
Thassa's Paradigm,0.42857142857143,7,0.1,0.82,/Legacy/thassa-s-paradigm
Infect,0.66666666666667,6,0.22,0.96,/Legacy/infect
Ninjas,0.5,6,0.12,0.88,/Legacy/ninjas
Gruul Lumberjack,0.33333333333333,6,0.04,0.78,/Legacy/gruul-lumberjack
Dark Depths,0.2,5,0.01,0.72,/Legacy/dark-depths
Temur Cascade,0.8,5,0.28,0.99,/Legacy/temur-cascade
Bant Blink,0.4,5,0.05,0.85,/Legacy/bant-blink
Orzhov Ozelot,0.4,5,0.05,0.85,/Legacy/orzhov-ozelot
Esper Control,0.75,4,0.19,0.99,/Legacy/esper-control
Creative Technique,0.25,4,0.01,0.81,/Legacy/creative-technique
Slivers,0.33333333333333,3,0.01,0.91,/Legacy/slivers
Salvager Combo,1.0,3,0.29,1.0,/Legacy/salvager-combo
Beseech Storm,0.33333333333333,3,0.01,0.91,/Legacy/beseech-storm
