a,b,winrate_a_vs_b,matches,ci_low,ci_high
Dimir Tempo,Dimir Tempo,0.5,52,0.36,0.64
Dimir Tempo,Izzet Cutter,0.5,12,0.21,0.79
Dimir Tempo,Eldrazi Stompy,0.6,15,0.32,0.84
Dimir Tempo,Lands.dec,0.26,19,0.09,0.51
Dimir Tempo,Doomsday,0.47,15,0.21,0.73
Dimir Tempo,Cradle Control,0.47,17,0.23,0.72
Dimir Tempo,Painter Grindstone,0.38,8,0.09,0.76
Dimir Tempo,Affinity,0.55,11,0.23,0.83
Dimir Tempo,Domain Beanstalk,0.5,14,0.23,0.77
Dimir Tempo,Sneak and Show,0.73,11,0.39,0.94
Dimir Tempo,UWx Stoneblade,0.5,8,0.16,0.84
Dimir Tempo,UWx Control,0.83,6,0.36,1.0
Dimir Tempo,Show and Tell,0.5,8,0.16,0.84
Dimir Tempo,Mardu Ocelot,0.5,14,0.23,0.77
Dimir Tempo,Aluren,0.67,12,0.35,0.9
Dimir Tempo,Death & Taxes,0.71,7,0.29,0.96
Dimir Tempo,The EPIC Storm,0.9,10,0.55,1.0
Dimir Tempo,Reanimator,0.67,6,0.22,0.96
Dimir Tempo,Oops! All Spells,0.71,7,0.29,0.96
Dimir Tempo,Mono Red Prison,0.17,6,0.0,0.64
Dimir Tempo,Bant Beanstalk,0.57,7,0.18,0.9
Dimir Tempo,Ad Nauseam Tendrils,0.45,11,0.17,0.77
Dimir Tempo,Goblins,0.75,8,0.35,0.97
Dimir Tempo,Mystic Forge Combo,1.0,2,0.16,1.0
Dimir Tempo,Blue Cloudpost,0.63,8,0.24,0.91
Dimir Tempo,Grixis Tempo,0.78,9,0.4,0.97
Dimir Tempo,Boros Energy,0.0,1,0.0,0.98
Dimir Tempo,Mono Black,0.0,3,0.0,0.71
Dimir Tempo,Ruby Storm,0.33,3,0.01,0.91
Dimir Tempo,Dredge,0.5,4,0.07,0.93
Dimir Tempo,Rakdos Moonshadow,0.5,2,0.01,0.99
Dimir Tempo,Burn,1.0,1,0.02,1.0
Dimir Tempo,Hogaak,0.0,1,0.0,0.98
Dimir Tempo,UBx Death's Shadow,0.67,3,0.09,0.99
Dimir Tempo,Cephalid Breakfast,0.5,2,0.01,0.99
Dimir Tempo,Smallpox,0.33,3,0.01,0.91
Dimir Tempo,Mono Black Necro,0.0,1,0.0,0.98
Dimir Tempo,Mono Black Helm,0.0,1,0.0,0.98
Izzet Cutter,Dimir Tempo,0.5,12,0.21,0.79
Izzet Cutter,Izzet Cutter,0.5,4,0.07,0.93
Izzet Cutter,Eldrazi Stompy,0.5,6,0.12,0.88
Izzet Cutter,Lands.dec,0.67,9,0.3,0.93
Izzet Cutter,Doomsday,0.86,7,0.42,1.0
Izzet Cutter,Cradle Control,0.0,6,0.0,0.46
Izzet Cutter,Painter Grindstone,0.56,9,0.21,0.86
Izzet Cutter,Affinity,0.0,5,0.0,0.52
Izzet Cutter,Domain Beanstalk,0.55,11,0.23,0.83
Izzet Cutter,Sneak and Show,0.43,7,0.1,0.82
Izzet Cutter,UWx Stoneblade,0.5,2,0.01,0.99
Izzet Cutter,UWx Control,0.5,4,0.07,0.93
Izzet Cutter,Show and Tell,1.0,8,0.63,1.0
Izzet Cutter,Mardu Ocelot,0.17,6,0.0,0.64
Izzet Cutter,Aluren,0.4,5,0.05,0.85
Izzet Cutter,Death & Taxes,0.25,4,0.01,0.81
Izzet Cutter,The EPIC Storm,0.0,2,0.0,0.84
Izzet Cutter,Reanimator,0.5,2,0.01,0.99
Izzet Cutter,Oops! All Spells,0.5,4,0.07,0.93
Izzet Cutter,Mono Red Prison,1.0,2,0.16,1.0
Izzet Cutter,Bant Beanstalk,0.5,6,0.12,0.88
Izzet Cutter,Ad Nauseam Tendrils,0.0,4,0.0,0.6
Izzet Cutter,Goblins,0.5,2,0.01,0.99
Izzet Cutter,Mystic Forge Combo,0.75,4,0.19,0.99
Izzet Cutter,Blue Cloudpost,0.67,3,0.09,0.99
Izzet Cutter,Grixis Tempo,1.0,2,0.16,1.0
Izzet Cutter,Boros Energy,0.0,1,0.0,0.98
Izzet Cutter,Mono Black,0.0,3,0.0,0.71
Izzet Cutter,Ruby Storm,0.5,2,0.01,0.99
Izzet Cutter,Dredge,0.33,3,0.01,0.91
Izzet Cutter,Rakdos Moonshadow,1.0,1,0.02,1.0
Izzet Cutter,Burn,0.5,2,0.01,0.99
Izzet Cutter,UBx Death's Shadow,0.67,3,0.09,0.99
Izzet Cutter,Cephalid Breakfast,0.0,1,0.0,0.98
Izzet Cutter,Smallpox,1.0,1,0.02,1.0
Izzet Cutter,Mono Black Necro,0.5,2,0.01,0.99
Izzet Cutter,BUG,0.0,3,0.0,0.71
Eldrazi Stompy,Dimir Tempo,0.4,15,0.16,0.68
Eldrazi Stompy,Izzet Cutter,0.5,6,0.12,0.88
Eldrazi Stompy,Eldrazi Stompy,0.5,2,0.01,0.99
Eldrazi Stompy,Lands.dec,0.5,4,0.07,0.93
Eldrazi Stompy,Doomsday,1.0,6,0.54,1.0
Eldrazi Stompy,Cradle Control,0.13,8,0.0,0.53
Eldrazi Stompy,Painter Grindstone,0.5,2,0.01,0.99
Eldrazi Stompy,Affinity,0.5,4,0.07,0.93
Eldrazi Stompy,Domain Beanstalk,0.25,4,0.01,0.81
Eldrazi Stompy,Sneak and Show,0.43,7,0.1,0.82
Eldrazi Stompy,UWx Stoneblade,1.0,1,0.02,1.0
Eldrazi Stompy,UWx Control,0.67,3,0.09,0.99
Eldrazi Stompy,Show and Tell,0.6,5,0.15,0.95
Eldrazi Stompy,Mardu Ocelot,0.75,4,0.19,0.99
Eldrazi Stompy,Aluren,0.5,2,0.01,0.99
Eldrazi Stompy,Death & Taxes,0.5,4,0.07,0.93
Eldrazi Stompy,The EPIC Storm,0.75,8,0.35,0.97
Eldrazi Stompy,Reanimator,0.0,2,0.0,0.84
Eldrazi Stompy,Oops! All Spells,0.67,3,0.09,0.99
Eldrazi Stompy,Mono Red Prison,0.0,2,0.0,0.84
Eldrazi Stompy,Bant Beanstalk,0.75,4,0.19,0.99
Eldrazi Stompy,Ad Nauseam Tendrils,1.0,2,0.16,1.0
Eldrazi Stompy,Goblins,0.5,2,0.01,0.99
Eldrazi Stompy,Mystic Forge Combo,0.67,3,0.09,0.99
Eldrazi Stompy,Blue Cloudpost,0.83,6,0.36,1.0
Eldrazi Stompy,Grixis Tempo,1.0,1,0.02,1.0
Eldrazi Stompy,Boros Energy,0.0,3,0.0,0.71
Eldrazi Stompy,Mono Black,0.67,3,0.09,0.99
Eldrazi Stompy,Ruby Storm,1.0,4,0.4,1.0
Eldrazi Stompy,Dredge,0.67,3,0.09,0.99
Eldrazi Stompy,Rakdos Moonshadow,1.0,1,0.02,1.0
Eldrazi Stompy,Burn,0.4,5,0.05,0.85
Eldrazi Stompy,Hogaak,1.0,1,0.02,1.0
Eldrazi Stompy,UBx Death's Shadow,0.0,1,0.0,0.98
Eldrazi Stompy,Cephalid Breakfast,0.0,1,0.0,0.98
Eldrazi Stompy,Smallpox,0.0,1,0.0,0.98
Lands.dec,Dimir Tempo,0.74,19,0.49,0.91
Lands.dec,Izzet Cutter,0.33,9,0.07,0.7
Lands.dec,Eldrazi Stompy,0.5,4,0.07,0.93
Lands.dec,Lands.dec,0.5,2,0.01,0.99
Lands.dec,Doomsday,0.33,3,0.01,0.91
Lands.dec,Cradle Control,0.5,4,0.07,0.93
Lands.dec,Painter Grindstone,0.8,5,0.28,0.99
Lands.dec,Affinity,0.6,10,0.26,0.88
Lands.dec,Domain Beanstalk,0.43,7,0.1,0.82
Lands.dec,Sneak and Show,0.0,3,0.0,0.71
Lands.dec,UWx Stoneblade,0.2,5,0.01,0.72
Lands.dec,UWx Control,0.0,1,0.0,0.98
Lands.dec,Mardu Ocelot,0.6,5,0.15,0.95
Lands.dec,Aluren,0.4,5,0.05,0.85
Lands.dec,Death & Taxes,0.25,4,0.01,0.81
Lands.dec,The EPIC Storm,0.67,3,0.09,0.99
Lands.dec,Reanimator,0.5,2,0.01,0.99
Lands.dec,Oops! All Spells,0.67,3,0.09,0.99
Lands.dec,Mono Red Prison,0.0,2,0.0,0.84
Lands.dec,Bant Beanstalk,0.5,2,0.01,0.99
Lands.dec,Ad Nauseam Tendrils,0.33,6,0.04,0.78
Lands.dec,Goblins,0.4,5,0.05,0.85
Lands.dec,Mystic Forge Combo,1.0,1,0.02,1.0
Lands.dec,Blue Cloudpost,1.0,3,0.29,1.0
Lands.dec,Grixis Tempo,1.0,1,0.02,1.0
Lands.dec,Boros Energy,0.0,3,0.0,0.71
Lands.dec,Mono Black,1.0,1,0.02,1.0
Lands.dec,Dredge,1.0,1,0.02,1.0
Lands.dec,Hogaak,1.0,2,0.16,1.0
Lands.dec,UBx Death's Shadow,1.0,1,0.02,1.0
Lands.dec,Smallpox,1.0,1,0.02,1.0
Lands.dec,Mono Black Necro,0.67,3,0.09,0.99
Lands.dec,Mono Black Helm,1.0,1,0.02,1.0
Lands.dec,UR Tempo,1.0,1,0.02,1.0
Doomsday,Dimir Tempo,0.53,15,0.27,0.79
Doomsday,Izzet Cutter,0.14,7,0.0,0.58
Doomsday,Eldrazi Stompy,0.0,6,0.0,0.46
Doomsday,Lands.dec,0.67,3,0.09,0.99
Doomsday,Doomsday,0.5,4,0.07,0.93
Doomsday,Cradle Control,0.2,5,0.01,0.72
Doomsday,Painter Grindstone,0.0,4,0.0,0.6
Doomsday,Affinity,0.4,5,0.05,0.85
Doomsday,Domain Beanstalk,0.33,3,0.01,0.91
Doomsday,Sneak and Show,0.33,3,0.01,0.91
Doomsday,UWx Stoneblade,0.4,5,0.05,0.85
Doomsday,UWx Control,0.5,4,0.07,0.93
Doomsday,Show and Tell,0.83,6,0.36,1.0
Doomsday,Mardu Ocelot,0.4,5,0.05,0.85
Doomsday,Aluren,1.0,3,0.29,1.0
Doomsday,Death & Taxes,0.33,3,0.01,0.91
Doomsday,Reanimator,0.25,4,0.01,0.81
Doomsday,Oops! All Spells,0.67,3,0.09,0.99
Doomsday,Mono Red Prison,0.5,4,0.07,0.93
Doomsday,Bant Beanstalk,1.0,1,0.02,1.0
Doomsday,Ad Nauseam Tendrils,1.0,1,0.02,1.0
