a,b,winrate_a_vs_b,matches,ci_low,ci_high
Boros Energy,Boros Energy,0.5,42,0.34,0.66
Boros Energy,Affinity,0.64,14,0.35,0.87
Boros Energy,Izzet Prowess,0.73,15,0.45,0.92
Boros Energy,Jeskai Blink,0.29,17,0.1,0.56
Boros Energy,Amulet Titan,0.86,7,0.42,1.0
Boros Energy,Domain Aggro,0.5,10,0.19,0.81
Boros Energy,Golgari Yawgmoth,0.5,10,0.19,0.81
Boros Energy,Ruby Storm,0.38,13,0.14,0.68
Boros Energy,Eldrazi Tron,0.64,11,0.31,0.89
Boros Energy,Esper Reanimator,0.63,8,0.24,0.91
Boros Energy,Jeskai Control,0.5,8,0.16,0.84
Boros Energy,Azorius Control,0.67,6,0.22,0.96
Boros Energy,Eldrazi Ramp,0.57,7,0.18,0.9
Boros Energy,Tameshi Belcher,0.0,1,0.0,0.98
Boros Energy,Neoform,0.6,5,0.15,0.95
Boros Energy,Simic Ritual,0.5,6,0.12,0.88
Boros Energy,Esper Phelia,0.25,4,0.01,0.81
Boros Energy,Eldrazi Bloodchief Combo,0.5,2,0.01,0.99
Boros Energy,Mill,1.0,3,0.29,1.0
Boros Energy,4 Color Ritual,0.75,4,0.19,0.99
Boros Energy,4 Color Omnath,0.0,5,0.0,0.52
Boros Energy,Samwise Combo,1.0,2,0.16,1.0
Boros Energy,Eldrazi Aggro,0.75,4,0.19,0.99
Boros Energy,Grixis Frog,0.5,2,0.01,0.99
Boros Energy,Grixis Reanimator,1.0,1,0.02,1.0
Boros Energy,Dimir Frog,1.0,1,0.02,1.0
Boros Energy,Orzhov Blink,0.5,2,0.01,0.99
Boros Energy,Merfolk,0.5,2,0.01,0.99
Boros Energy,Living End,0.0,2,0.0,0.84
Boros Energy,Jund Saga,0.0,1,0.0,0.98
Affinity,Boros Energy,0.36,14,0.13,0.65
Affinity,Affinity,0.5,8,0.16,0.84
Affinity,Izzet Prowess,0.5,8,0.16,0.84
Affinity,Jeskai Blink,0.56,9,0.21,0.86
Affinity,Amulet Titan,0.45,11,0.17,0.77
Affinity,Domain Aggro,0.29,7,0.04,0.71
Affinity,Golgari Yawgmoth,0.57,7,0.18,0.9
Affinity,Ruby Storm,0.38,8,0.09,0.76
Affinity,Eldrazi Tron,0.43,7,0.1,0.82
Affinity,Esper Reanimator,0.71,7,0.29,0.96
Affinity,Jeskai Control,0.5,2,0.01,0.99
Affinity,Azorius Control,0.67,3,0.09,0.99
Affinity,Eldrazi Ramp,0.25,4,0.01,0.81
Affinity,Tameshi Belcher,0.75,4,0.19,0.99
Affinity,Neoform,0.2,5,0.01,0.72
Affinity,Simic Ritual,1.0,2,0.16,1.0
Affinity,Esper Phelia,0.33,3,0.01,0.91
Affinity,Eldrazi Bloodchief Combo,0.2,5,0.01,0.72
Affinity,Mill,1.0,4,0.4,1.0
Affinity,4 Color Ritual,0.0,1,0.0,0.98
Affinity,4 Color Omnath,0.5,4,0.07,0.93
Affinity,Samwise Combo,0.33,3,0.01,0.91
Affinity,Eldrazi Aggro,0.5,2,0.01,0.99
Affinity,Grixis Frog,1.0,2,0.16,1.0
Affinity,Hardened Scales,1.0,1,0.02,1.0
Affinity,Kethis Combo,0.0,1,0.0,0.98
Affinity,Grixis Reanimator,0.0,1,0.0,0.98
Affinity,Orzhov Blink,0.0,1,0.0,0.98
Affinity,Jund Saga,1.0,1,0.02,1.0
Izzet Prowess,Boros Energy,0.27,15,0.08,0.55
Izzet Prowess,Affinity,0.5,8,0.16,0.84
Izzet Prowess,Izzet Prowess,0.5,12,0.21,0.79
Izzet Prowess,Jeskai Blink,0.29,7,0.04,0.71
Izzet Prowess,Amulet Titan,0.3,10,0.07,0.65
Izzet Prowess,Domain Aggro,0.5,8,0.16,0.84
Izzet Prowess,Golgari Yawgmoth,0.5,8,0.16,0.84
Izzet Prowess,Ruby Storm,0.33,6,0.04,0.78
Izzet Prowess,Eldrazi Tron,0.33,3,0.01,0.91
Izzet Prowess,Esper Reanimator,0.2,5,0.01,0.72
Izzet Prowess,Jeskai Control,0.5,6,0.12,0.88
Izzet Prowess,Azorius Control,1.0,3,0.29,1.0
Izzet Prowess,Eldrazi Ramp,0.5,2,0.01,0.99
Izzet Prowess,Tameshi Belcher,0.67,3,0.09,0.99
Izzet Prowess,Neoform,0.25,4,0.01,0.81
Izzet Prowess,Simic Ritual,0.5,2,0.01,0.99
Izzet Prowess,Esper Phelia,0.5,2,0.01,0.99
Izzet Prowess,Mill,0.5,2,0.01,0.99
Izzet Prowess,4 Color Ritual,0.0,1,0.0,0.98
Izzet Prowess,4 Color Omnath,0.33,3,0.01,0.91
Izzet Prowess,Eldrazi Aggro,0.0,1,0.0,0.98
Izzet Prowess,Hardened Scales,0.67,3,0.09,0.99
Izzet Prowess,Kethis Combo,1.0,1,0.02,1.0
Izzet Prowess,Grixis Reanimator,0.33,3,0.01,0.91
Izzet Prowess,Dimir Frog,0.5,2,0.01,0.99
Izzet Prowess,Orzhov Blink,1.0,1,0.02,1.0
