a,b,winrate_a_vs_b,matches,ci_low,ci_high
Boros Energy,Boros Energy,0.5,196,0.43,0.57
Boros Energy,Affinity,0.59,100,0.49,0.69
Boros Energy,Izzet Prowess,0.59,58,0.45,0.71
Boros Energy,Amulet Titan,0.65,55,0.51,0.78
Boros Energy,Domain Aggro,0.53,57,0.39,0.66
Boros Energy,Jeskai Blink,0.45,65,0.32,0.57
Boros Energy,Ruby Storm,0.47,57,0.34,0.61
Boros Energy,Esper Reanimator,0.48,54,0.34,0.62
Boros Energy,Eldrazi Ramp,0.36,53,0.23,0.5
Boros Energy,Eldrazi Tron,0.54,37,0.37,0.71
Boros Energy,Esper Phelia,0.54,41,0.37,0.69
Boros Energy,Golgari Yawgmoth,0.54,28,0.34,0.72
Boros Energy,Jeskai Control,0.59,37,0.42,0.75
Boros Energy,Neoform,0.41,37,0.25,0.58
Boros Energy,Tameshi Belcher,0.32,19,0.13,0.57
Boros Energy,Simic Ritual,0.55,22,0.32,0.76
Boros Energy,Azorius Control,0.53,19,0.29,0.76
Boros Energy,Eldrazi Bloodchief Combo,0.33,12,0.1,0.65
Boros Energy,Grixis Reanimator,0.64,14,0.35,0.87
Boros Energy,Azorius Blink,0.57,14,0.29,0.82
Boros Energy,Dimir Frog,0.64,11,0.31,0.89
Boros Energy,Mill,0.83,12,0.52,0.98
Boros Energy,Samwise Combo,0.7,10,0.35,0.93
Boros Energy,Eldrazi Aggro,0.71,7,0.29,0.96
Boros Energy,Living End,0.54,13,0.25,0.81
Boros Energy,4 Color Ritual,0.64,11,0.31,0.89
Boros Energy,Hollow One,0.4,5,0.05,0.85
Boros Energy,Mono Blue Tron,0.57,7,0.18,0.9
Boros Energy,4 Color Omnath,0.17,6,0.0,0.64
Boros Energy,Burn,0.67,3,0.09,0.99
Boros Energy,Izzet Metalcraft,0.5,4,0.07,0.93
Affinity,Boros Energy,0.41,100,0.31,0.51
Affinity,Affinity,0.5,52,0.36,0.64
Affinity,Izzet Prowess,0.56,43,0.4,0.71
Affinity,Amulet Titan,0.41,32,0.24,0.59
Affinity,Domain Aggro,0.54,28,0.34,0.72
Affinity,Jeskai Blink,0.47,30,0.28,0.66
Affinity,Ruby Storm,0.54,26,0.33,0.73
Affinity,Esper Reanimator,0.7,37,0.53,0.84
Affinity,Eldrazi Ramp,0.58,31,0.39,0.75
Affinity,Eldrazi Tron,0.5,18,0.26,0.74
Affinity,Esper Phelia,0.5,18,0.26,0.74
Affinity,Golgari Yawgmoth,0.5,16,0.25,0.75
Affinity,Jeskai Control,0.47,17,0.23,0.72
Affinity,Neoform,0.31,16,0.11,0.59
Affinity,Tameshi Belcher,0.78,9,0.4,0.97
Affinity,Simic Ritual,0.67,12,0.35,0.9
Affinity,Azorius Control,0.56,9,0.21,0.86
Affinity,Eldrazi Bloodchief Combo,0.25,8,0.03,0.65
Affinity,Grixis Reanimator,0.42,12,0.15,0.72
Affinity,Azorius Blink,0.75,4,0.19,0.99
Affinity,Dimir Frog,0.83,6,0.36,1.0
Affinity,Mill,0.83,6,0.36,1.0
Affinity,Samwise Combo,0.5,6,0.12,0.88
Affinity,Eldrazi Aggro,0.5,4,0.07,0.93
Affinity,Living End,0.5,2,0.01,0.99
Affinity,4 Color Ritual,0.0,2,0.0,0.84
Affinity,Hollow One,0.6,5,0.15,0.95
Affinity,4 Color Omnath,0.5,4,0.07,0.93
Affinity,Burn,1.0,1,0.02,1.0
Affinity,Izzet Metalcraft,0.0,2,0.0,0.84
Izzet Prowess,Boros Energy,0.41,58,0.29,0.55
Izzet Prowess,Affinity,0.44,43,0.29,0.6
Izzet Prowess,Izzet Prowess,0.5,34,0.32,0.68
Izzet Prowess,Amulet Titan,0.36,28,0.19,0.56
