archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Boros Energy,0.54974489795918,784,0.51,0.58,/Modern/boros-energy
Affinity,0.53125,448,0.48,0.58,/Modern/affinity
Izzet Prowess,0.42987804878049,328,0.38,0.49,/Modern/izzet-prowess
Domain Aggro,0.52830188679245,318,0.47,0.58,/Modern/domain-aggro
Jeskai Blink,0.47115384615385,312,0.41,0.53,/Modern/jeskai-blink
Amulet Titan,0.45867768595041,242,0.39,0.52,/Modern/amulet-titan
Ruby Storm,0.53617021276596,235,0.47,0.6,/Modern/ruby-storm
Eldrazi Tron,0.52488687782805,221,0.46,0.59,/Modern/eldrazi-tron
Esper Reanimator,0.51207729468599,207,0.44,0.58,/Modern/esper-reanimator
Golgari Yawgmoth,0.51219512195122,205,0.44,0.58,/Modern/golgari-yawgmoth
Eldrazi Ramp,0.57386363636364,176,0.5,0.65,/Modern/eldrazi-ramp
Tameshi Belcher,0.59459459459459,148,0.51,0.67,/Modern/tameshi-belcher
Simic Ritual,0.4963503649635,137,0.41,0.58,/Modern/simic-ritual
Esper Phelia,0.56296296296296,135,0.47,0.65,/Modern/esper-phelia
Eldrazi Bloodchief Combo,0.54716981132075,106,0.45,0.64,/Modern/eldrazi-bloodchief-combo
Neoform,0.56565656565657,99,0.46,0.67,/Modern/neoform
Azorius Control,0.49473684210526,95,0.39,0.6,/Modern/azorius-control
Mill,0.35555555555556,90,0.26,0.46,/Modern/mill
Grixis Reanimator,0.41975308641975,81,0.31,0.53,/Modern/grixis-reanimator
Jeskai Control,0.44285714285714,70,0.32,0.57,/Modern/jeskai-control
Living End,0.546875,64,0.42,0.67,/Modern/living-end
Dimir Control,0.41379310344828,58,0.29,0.55,/Modern/dimir-control
Eldrazi Aggro,0.5,54,0.36,0.64,/Modern/eldrazi-aggro
Samwise Combo,0.41176470588235,51,0.28,0.56,/Modern/samwise-combo
Dimir Frog,0.48,50,0.34,0.63,/Modern/dimir-frog
4 Color Omnath,0.47826086956522,46,0.33,0.63,/Modern/4-color-omnath
Hollow One,0.41666666666667,36,0.26,0.59,/Modern/hollow-one
Burn,0.4,35,0.24,0.58,/Modern/burn
4 Color Ritual,0.6,35,0.42,0.76,/Modern/4-color-ritual
Grixis Frog,0.34782608695652,23,0.16,0.57,/Modern/grixis-frog
Merfolk,0.5,22,0.28,0.72,/Modern/merfolk
Mono Black Necrodominance,0.71428571428571,21,0.48,0.89,/Modern/mono-black-necrodominance
Temur Song,0.45,20,0.23,0.68,/Modern/temur-song
Splinter Twin,0.55,20,0.32,0.77,/Modern/splinter-twin
Azorius Blink,0.41176470588235,17,0.18,0.67,/Modern/azorius-blink
Mono Green Tron,0.3125,16,0.11,0.59,/Modern/mono-green-tron
Infect,0.375,16,0.15,0.65,/Modern/infect
Hardened Scales,0.5,16,0.25,0.75,/Modern/hardened-scales
Kethis Combo,0.5625,16,0.3,0.8,/Modern/kethis-combo
4 Color Phlage,0.375,16,0.15,0.65,/Modern/4-color-phlage
Rakdos Arcanist,0.46666666666667,15,0.21,0.73,/Modern/rakdos-arcanist
Boros Wildfire,0.46666666666667,15,0.21,0.73,/Modern/boros-wildfire
Hammer Time,0.21428571428571,14,0.05,0.51,/Modern/hammer-time
Orzhov Blink,0.14285714285714,14,0.02,0.43,/Modern/orzhov-blink
Dredge,0.23076923076923,13,0.05,0.54,/Modern/dredge
Jund Saga,0.30769230769231,13,0.09,0.61,/Modern/jund-saga
Jeskai Ascendancy,0.5,12,0.21,0.79,/Modern/jeskai-ascendancy
Mardu Energy,0.5,12,0.21,0.79,/Modern/mardu-energy
Eldrazi Breach,0.33333333333333,12,0.1,0.65,/Modern/eldrazi-breach
Bant Ritual,0.41666666666667,12,0.15,0.72,/Modern/bant-ritual
Izzet Metalcraft,0.58333333333333,12,0.28,0.85,/Modern/izzet-metalcraft
Mono Blue Tron,0.45454545454545,11,0.17,0.77,/Modern/mono-blue-tron
Rakdos Burn,0.63636363636364,11,0.31,0.89,/Modern/rakdos-burn
Elementals,0.63636363636364,11,0.31,0.89,/Modern/elementals
Rakdos Channeler,0.45454545454545,11,0.17,0.77,/Modern/rakdos-channeler
Humans,0.6,10,0.26,0.88,/Modern/humans
Dimir Death's Shadow,0.4,10,0.12,0.74,/Modern/dimir-death-s-shadow
Dimir Oculus,0.5,10,0.19,0.81,/Modern/dimir-oculus
Esper Frog,0.7,10,0.35,0.93,/Modern/esper-frog
Grixis Death's Shadow,0.33333333333333,9,0.07,0.7,/Modern/grixis-death-s-shadow
Slivers,0.44444444444444,9,0.14,0.79,/Modern/slivers
Izzet Murktide,0.55555555555556,9,0.21,0.86,/Modern/izzet-murktide
Twiddle Storm,0.33333333333333,9,0.07,0.7,/Modern/twiddle-storm
