event_id,deck_id,player_name,rank,deck_part,card_name,quantity
12834459,58466458,Misplacedginger,12,mainboard,Arid Mesa,4
12834459,58466458,Misplacedginger,12,mainboard,"Phlage, Titan of Fire's Fury",4
12834459,58466458,Misplacedginger,12,mainboard,Mountain,1
12834459,58466458,Misplacedginger,12,mainboard,Voice of Victory,2
12834459,58466458,Misplacedginger,12,mainboard,Dalkovan Encampment,1
12834459,58466458,Misplacedginger,12,mainboard,Plains,2
12834459,58466458,Misplacedginger,12,mainboard,Arena of Glory,3
12834459,58466458,Misplacedginger,12,mainboard,Galvanic Discharge,4
12834459,58466458,Misplacedginger,12,mainboard,Sacred Foundry,3
12834459,58466458,Misplacedginger,12,mainboard,Marsh Flats,4
12834459,58466458,Misplacedginger,12,mainboard,Flooded Strand,3
12834459,58466458,Misplacedginger,12,mainboard,Elegant Parlor,2
12834459,58466458,Misplacedginger,12,mainboard,Ocelot Pride,4
12834459,58466458,Misplacedginger,12,mainboard,Static Prison,1
12834459,58466458,Misplacedginger,12,mainboard,Seasoned Pyromancer,3
12834459,58466458,Misplacedginger,12,mainboard,Thraben Charm,2
12834459,58466458,Misplacedginger,12,mainboard,"Ragavan, Nimble Pilferer",4
12834459,58466458,Misplacedginger,12,mainboard,"Ajani, Nacatl Pariah",4
12834459,58466458,Misplacedginger,12,mainboard,Guide of Souls,4
12834459,58466458,Misplacedginger,12,mainboard,Fable of the Mirror-Breaker,2
12834459,58466458,Misplacedginger,12,mainboard,Goblin Bombardment,3
12834459,58466458,Misplacedginger,12,sideboard,Celestial Purge,2
12834459,58466458,Misplacedginger,12,sideboard,Obsidian Charmaw,2
12834459,58466458,Misplacedginger,12,sideboard,Wrath of the Skies,2
12834459,58466458,Misplacedginger,12,sideboard,Wear/Tear,2
12834459,58466458,Misplacedginger,12,sideboard,Damping Sphere,2
12834459,58466458,Misplacedginger,12,sideboard,The Legend of Roku,3
12834459,58466458,Misplacedginger,12,sideboard,High Noon,2
