archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Mono Red Madness,0.5,464,0.45,0.55,/Pauper/mono-red-madness
Elves,0.57894736842105,323,0.52,0.63,/Pauper/elves
Mono Blue Terror,0.45859872611465,314,0.4,0.52,/Pauper/mono-blue-terror
Rakdos Madness,0.5171102661597,263,0.45,0.58,/Pauper/rakdos-madness
Grixis Affinity,0.47328244274809,262,0.41,0.54,/Pauper/grixis-affinity
Jund Wildfire,0.54581673306773,251,0.48,0.61,/Pauper/jund-wildfire
Mono Red Rally,0.53738317757009,214,0.47,0.61,/Pauper/mono-red-rally
Mono Blue Faeries,0.55681818181818,176,0.48,0.63,/Pauper/mono-blue-faeries
Caw Gates,0.59036144578313,166,0.51,0.67,/Pauper/caw-gates
Dimir Terror,0.47402597402597,154,0.39,0.56,/Pauper/dimir-terror
Gruul Ramp,0.54362416107383,149,0.46,0.63,/Pauper/gruul-ramp
White Weenie,0.44202898550725,138,0.36,0.53,/Pauper/white-weenie
Golgari Gardens,0.484375,128,0.4,0.57,/Pauper/golgari-gardens
Spy Combo,0.61290322580645,124,0.52,0.7,/Pauper/spy-combo
UWx Familiar,0.5042735042735,117,0.41,0.6,/Pauper/uwx-familiar
UB Faeries,0.54310344827586,116,0.45,0.64,/Pauper/ub-faeries
GW Bogles,0.4047619047619,84,0.3,0.52,/Pauper/gw-bogles
Monster Tron,0.50746268656716,67,0.38,0.63,/Pauper/monster-tron
Mono Black Sacrifice,0.40625,64,0.29,0.54,/Pauper/mono-black-sacrifice
Dredge,0.60655737704918,61,0.47,0.73,/Pauper/dredge
Mono Red Synthesizer,0.45,60,0.32,0.58,/Pauper/mono-red-synthesizer
Orzhov Blade,0.46938775510204,49,0.33,0.62,/Pauper/orzhov-blade
Gruul Ponza,0.52272727272727,44,0.37,0.68,/Pauper/gruul-ponza
Jeskai Ephemerate,0.41860465116279,43,0.27,0.58,/Pauper/jeskai-ephemerate
Mono Red Burn,0.39024390243902,41,0.24,0.55,/Pauper/mono-red-burn
Esper Affinity,0.41463414634146,41,0.26,0.58,/Pauper/esper-affinity
Retriever Combo,0.38888888888889,36,0.23,0.57,/Pauper/retriever-combo
Red Storm,0.64705882352941,34,0.46,0.8,/Pauper/red-storm
Dimir Affinity,0.35294117647059,34,0.2,0.54,/Pauper/dimir-affinity
Boros Bully,0.63636363636364,33,0.45,0.8,/Pauper/boros-bully
Izzet Faeries,0.56666666666667,30,0.37,0.75,/Pauper/izzet-faeries
Altar Tron,0.51724137931034,29,0.33,0.71,/Pauper/altar-tron
Mono White Heroic,0.35714285714286,28,0.19,0.56,/Pauper/mono-white-heroic
Defender Combo,0.40740740740741,27,0.22,0.61,/Pauper/defender-combo
Mono Green Stompy,0.6,25,0.39,0.79,/Pauper/mono-green-stompy
Persistent Petitioners,0.33333333333333,21,0.15,0.57,/Pauper/persistent-petitioners
Jeskai Metalcraft,0.65,20,0.41,0.85,/Pauper/jeskai-metalcraft
Eggs Tron,0.5,20,0.27,0.73,/Pauper/eggs-tron
Slivers,0.36842105263158,19,0.16,0.62,/Pauper/slivers
Boros Synthesizer,0.52631578947368,19,0.29,0.76,/Pauper/boros-synthesizer
Mono Red Kiln Fiend,0.66666666666667,18,0.41,0.87,/Pauper/mono-red-kiln-fiend
Golgari Pestilence,0.3125,16,0.11,0.59,/Pauper/golgari-pestilence
Flicker Tron,0.5,14,0.23,0.77,/Pauper/flicker-tron
Cycling Storm,0.38461538461538,13,0.14,0.68,/Pauper/cycling-storm
Turbo Fog,0.66666666666667,12,0.35,0.9,/Pauper/turbo-fog
Izzet Skred,0.33333333333333,12,0.1,0.65,/Pauper/izzet-skred
Dimir Control,0.63636363636364,11,0.31,0.89,/Pauper/dimir-control
Naya Gates,0.63636363636364,11,0.31,0.89,/Pauper/naya-gates
Dimir Spirits,0.44444444444444,9,0.14,0.79,/Pauper/dimir-spirits
Mono Black Control,0.375,8,0.09,0.76,/Pauper/mono-black-control
Boros Gates,0.625,8,0.24,0.91,/Pauper/boros-gates
Mono Red Tron,0.5,8,0.16,0.84,/Pauper/mono-red-tron
Jund Gardens,0.625,8,0.24,0.91,/Pauper/jund-gardens
Dimir Abjure,0.75,8,0.35,0.97,/Pauper/dimir-abjure
Naya Initiative,0.71428571428571,7,0.29,0.96,/Pauper/naya-initiative
Poison Storm,0.57142857142857,7,0.18,0.9,/Pauper/poison-storm
Jeskai Gates,0.57142857142857,7,0.18,0.9,/Pauper/jeskai-gates
Grixis Control,0.16666666666667,6,0.0,0.64,/Pauper/grixis-control
Zombies,0.16666666666667,6,0.0,0.64,/Pauper/zombies
Mono Red Dredge,0.66666666666667,6,0.22,0.96,/Pauper/mono-red-dredge
Gruul Eldrazi,0.4,5,0.05,0.85,/Pauper/gruul-eldrazi
