a,b,winrate_a_vs_b,matches,ci_low,ci_high
Mono Red Madness,Mono Red Madness,0.5,146,0.42,0.58
Mono Red Madness,Mono Blue Terror,0.42,89,0.31,0.53
Mono Red Madness,Elves,0.71,92,0.6,0.8
Mono Red Madness,Rakdos Madness,0.39,69,0.28,0.52
Mono Red Madness,Grixis Affinity,0.54,65,0.41,0.66
Mono Red Madness,Mono Red Rally,0.29,62,0.18,0.42
Mono Red Madness,Jund Wildfire,0.45,56,0.31,0.59
Mono Red Madness,Gruul Ramp,0.69,54,0.54,0.8
Mono Red Madness,Mono Blue Faeries,0.48,58,0.35,0.62
Mono Red Madness,Spy Combo,0.54,48,0.39,0.69
Mono Red Madness,Caw Gates,0.35,37,0.2,0.53
Mono Red Madness,White Weenie,0.53,34,0.35,0.7
Mono Red Madness,Dimir Terror,0.42,33,0.25,0.61
Mono Red Madness,UB Faeries,0.37,30,0.2,0.56
Mono Red Madness,UWx Familiar,0.55,29,0.36,0.74
Mono Red Madness,Golgari Gardens,0.52,27,0.32,0.71
Mono Red Madness,Mono Black Sacrifice,0.47,15,0.21,0.73
Mono Red Madness,GW Bogles,0.42,31,0.25,0.61
Mono Red Madness,Gruul Ponza,0.6,15,0.32,0.84
Mono Red Madness,Esper Affinity,0.53,17,0.28,0.77
Mono Red Madness,Orzhov Blade,0.75,12,0.43,0.95
Mono Red Madness,Dredge,0.43,14,0.18,0.71
Mono Red Madness,Mono Red Synthesizer,0.25,16,0.07,0.52
Mono Red Madness,Mono White Heroic,0.62,13,0.32,0.86
Mono Red Madness,Monster Tron,0.54,13,0.25,0.81
Mono Red Madness,Jeskai Ephemerate,0.57,7,0.18,0.9
Mono Red Madness,Defender Combo,0.73,11,0.39,0.94
Mono Red Madness,Altar Tron,0.5,10,0.19,0.81
Mono Red Madness,Flicker Tron,0.75,4,0.19,0.99
Mono Red Madness,Dimir Affinity,0.67,6,0.22,0.96
Mono Red Madness,Jeskai Metalcraft,0.75,4,0.19,0.99
Mono Red Madness,Red Storm,0.14,7,0.0,0.58
Mono Red Madness,Retriever Combo,1.0,5,0.48,1.0
Mono Red Madness,Izzet Skred,0.0,4,0.0,0.6
Mono Red Madness,Mono Green Stompy,0.0,1,0.0,0.98
Mono Red Madness,Dimir Control,0.0,1,0.0,0.98
Mono Red Madness,Naya Gates,1.0,1,0.02,1.0
Mono Red Madness,Boros Bully,0.0,1,0.0,0.98
Mono Blue Terror,Mono Red Madness,0.58,89,0.47,0.69
Mono Blue Terror,Mono Blue Terror,0.5,68,0.38,0.62
Mono Blue Terror,Elves,0.23,53,0.12,0.36
Mono Blue Terror,Rakdos Madness,0.39,54,0.26,0.53
Mono Blue Terror,Grixis Affinity,0.44,52,0.3,0.59
Mono Blue Terror,Mono Red Rally,0.38,47,0.25,0.54
Mono Blue Terror,Jund Wildfire,0.34,41,0.2,0.51
Mono Blue Terror,Gruul Ramp,0.4,35,0.24,0.58
Mono Blue Terror,Mono Blue Faeries,0.28,39,0.15,0.45
Mono Blue Terror,Spy Combo,0.45,22,0.24,0.68
Mono Blue Terror,Caw Gates,0.45,33,0.28,0.64
Mono Blue Terror,White Weenie,0.43,30,0.25,0.63
Mono Blue Terror,Dimir Terror,0.32,25,0.15,0.54
Mono Blue Terror,UB Faeries,0.32,19,0.13,0.57
Mono Blue Terror,UWx Familiar,0.63,24,0.41,0.81
Mono Blue Terror,Golgari Gardens,0.41,17,0.18,0.67
Mono Blue Terror,Mono Black Sacrifice,0.73,11,0.39,0.94
Mono Blue Terror,GW Bogles,0.89,18,0.65,0.99
Mono Blue Terror,Gruul Ponza,0.6,15,0.32,0.84
Mono Blue Terror,Esper Affinity,0.33,15,0.12,0.62
Mono Blue Terror,Orzhov Blade,0.25,8,0.03,0.65
Mono Blue Terror,Dredge,0.38,8,0.09,0.76
Mono Blue Terror,Mono Red Synthesizer,0.67,12,0.35,0.9
Mono Blue Terror,Mono White Heroic,0.71,7,0.29,0.96
Mono Blue Terror,Monster Tron,0.33,6,0.04,0.78
Mono Blue Terror,Jeskai Ephemerate,0.29,7,0.04,0.71
Mono Blue Terror,Defender Combo,0.5,6,0.12,0.88
Mono Blue Terror,Altar Tron,0.63,8,0.24,0.91
Mono Blue Terror,Flicker Tron,0.73,11,0.39,0.94
Mono Blue Terror,Dimir Affinity,0.33,3,0.01,0.91
Mono Blue Terror,Jeskai Metalcraft,0.0,1,0.0,0.98
Mono Blue Terror,Red Storm,1.0,2,0.16,1.0
Mono Blue Terror,Retriever Combo,0.91,11,0.59,1.0
Mono Blue Terror,Izzet Skred,0.67,3,0.09,0.99
Mono Blue Terror,Mono Green Stompy,1.0,5,0.48,1.0
Mono Blue Terror,Dimir Control,0.67,3,0.09,0.99
Mono Blue Terror,Naya Gates,0.0,1,0.0,0.98
Mono Blue Terror,Boros Bully,0.0,2,0.0,0.84
Elves,Mono Red Madness,0.29,92,0.2,0.4
Elves,Mono Blue Terror,0.77,53,0.64,0.88
Elves,Elves,0.5,54,0.36,0.64
Elves,Rakdos Madness,0.61,36,0.43,0.77
Elves,Grixis Affinity,0.53,34,0.35,0.7
Elves,Mono Red Rally,0.39,38,0.24,0.57
Elves,Jund Wildfire,0.49,41,0.33,0.65
Elves,Gruul Ramp,0.67,51,0.52,0.79
Elves,Mono Blue Faeries,0.65,26,0.44,0.83
Elves,Spy Combo,0.41,22,0.21,0.64
Elves,Caw Gates,0.57,30,0.37,0.75
Elves,White Weenie,0.63,24,0.41,0.81
Elves,Dimir Terror,0.67,21,0.43,0.85
Elves,UB Faeries,0.57,23,0.34,0.77
Elves,UWx Familiar,0.54,24,0.33,0.74
Elves,Golgari Gardens,0.38,13,0.14,0.68
Elves,Mono Black Sacrifice,0.5,8,0.16,0.84
Elves,GW Bogles,0.79,14,0.49,0.95
Elves,Gruul Ponza,0.63,8,0.24,0.91
Elves,Esper Affinity,0.7,10,0.35,0.93
Elves,Orzhov Blade,0.86,7,0.42,1.0
Elves,Dredge,0.79,19,0.54,0.94
Elves,Mono Red Synthesizer,0.4,5,0.05,0.85
Elves,Mono White Heroic,0.67,9,0.3,0.93
Elves,Monster Tron,1.0,5,0.48,1.0
Elves,Jeskai Ephemerate,0.57,7,0.18,0.9
Elves,Defender Combo,0.38,8,0.09,0.76
Elves,Altar Tron,1.0,6,0.54,1.0
Elves,Flicker Tron,0.6,5,0.15,0.95
Elves,Dimir Affinity,0.67,6,0.22,0.96
Elves,Jeskai Metalcraft,0.67,6,0.22,0.96
Elves,Red Storm,0.1,10,0.0,0.45
Elves,Retriever Combo,1.0,2,0.16,1.0
Elves,Izzet Skred,0.0,1,0.0,0.98
Elves,Mono Green Stompy,0.25,4,0.01,0.81
Elves,Dimir Control,0.33,3,0.01,0.91
Elves,Naya Gates,0.67,3,0.09,0.99
Elves,Boros Bully,1.0,1,0.02,1.0
Rakdos Madness,Mono Red Madness,0.61,69,0.48,0.72
Rakdos Madness,Mono Blue Terror,0.61,54,0.47,0.74
Rakdos Madness,Elves,0.39,36,0.23,0.57
Rakdos Madness,Rakdos Madness,0.5,58,0.37,0.63
Rakdos Madness,Grixis Affinity,0.6,42,0.43,0.74
Rakdos Madness,Mono Red Rally,0.39,41,0.24,0.55
Rakdos Madness,Jund Wildfire,0.43,30,0.25,0.63
Rakdos Madness,Gruul Ramp,0.32,19,0.13,0.57
Rakdos Madness,Mono Blue Faeries,0.46,28,0.28,0.66
