archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Mono Red Madness,0.49266247379455,477,0.45,0.54,/Pauper/mono-red-madness
Mono Red Rally,0.54545454545455,473,0.5,0.59,/Pauper/mono-red-rally
Mono Blue Terror,0.49785407725322,466,0.45,0.54,/Pauper/mono-blue-terror
Jund Wildfire,0.51029748283753,437,0.46,0.56,/Pauper/jund-wildfire
Elves,0.52757793764988,417,0.48,0.58,/Pauper/elves
Grixis Affinity,0.4963503649635,411,0.45,0.55,/Pauper/grixis-affinity
Gruul Ramp,0.52894736842105,380,0.48,0.58,/Pauper/gruul-ramp
Rakdos Madness,0.45901639344262,366,0.41,0.51,/Pauper/rakdos-madness
UB Faeries,0.49851632047478,337,0.44,0.55,/Pauper/ub-faeries
Spy Combo,0.57094594594595,296,0.51,0.63,/Pauper/spy-combo
Mono Red Burn,0.53951890034364,291,0.48,0.6,/Pauper/mono-red-burn
Mono Black Sacrifice,0.51985559566787,277,0.46,0.58,/Pauper/mono-black-sacrifice
Caw Gates,0.50813008130081,246,0.44,0.57,/Pauper/caw-gates
Golgari Gardens,0.54273504273504,234,0.48,0.61,/Pauper/golgari-gardens
Dimir Terror,0.5188679245283,212,0.45,0.59,/Pauper/dimir-terror
White Weenie,0.49763033175355,211,0.43,0.57,/Pauper/white-weenie
Mono Blue Faeries,0.50253807106599,197,0.43,0.57,/Pauper/mono-blue-faeries
UWx Familiar,0.45774647887324,142,0.37,0.54,/Pauper/uwx-familiar
Dredge,0.38759689922481,129,0.3,0.48,/Pauper/dredge
Mono White Heroic,0.552,125,0.46,0.64,/Pauper/mono-white-heroic
Altar Tron,0.536,125,0.44,0.63,/Pauper/altar-tron
Monster Tron,0.55737704918033,122,0.46,0.65,/Pauper/monster-tron
Esper Affinity,0.48453608247423,97,0.38,0.59,/Pauper/esper-affinity
Orzhov Blade,0.51111111111111,90,0.4,0.62,/Pauper/orzhov-blade
Gruul Ponza,0.52631578947368,76,0.41,0.64,/Pauper/gruul-ponza
Izzet Skred,0.5,72,0.38,0.62,/Pauper/izzet-skred
Flicker Tron,0.27941176470588,68,0.18,0.4,/Pauper/flicker-tron
GW Bogles,0.52238805970149,67,0.4,0.65,/Pauper/gw-bogles
Mono Red Synthesizer,0.37704918032787,61,0.26,0.51,/Pauper/mono-red-synthesizer
Persistent Petitioners,0.44067796610169,59,0.31,0.58,/Pauper/persistent-petitioners
Rakdos Metalcraft,0.60714285714286,56,0.47,0.74,/Pauper/rakdos-metalcraft
Golgari Pestilence,0.49056603773585,53,0.35,0.63,/Pauper/golgari-pestilence
Red Storm,0.44,50,0.3,0.59,/Pauper/red-storm
Dimir Control,0.54166666666667,48,0.39,0.69,/Pauper/dimir-control
Jeskai Ephemerate,0.48888888888889,45,0.34,0.64,/Pauper/jeskai-ephemerate
Defender Combo,0.45454545454545,44,0.3,0.61,/Pauper/defender-combo
Mono Black Burn,0.47727272727273,44,0.32,0.63,/Pauper/mono-black-burn
Cascade Tron,0.55813953488372,43,0.4,0.71,/Pauper/cascade-tron
Eggs Tron,0.625,32,0.44,0.79,/Pauper/eggs-tron
Slivers,0.35483870967742,31,0.19,0.55,/Pauper/slivers
Jund Gardens,0.8,30,0.61,0.92,/Pauper/jund-gardens
Naya Gates,0.44827586206897,29,0.26,0.64,/Pauper/naya-gates
Cycling Storm,0.42857142857143,28,0.24,0.63,/Pauper/cycling-storm
Poison Storm,0.5,26,0.3,0.7,/Pauper/poison-storm
Boros Synthesizer,0.45833333333333,24,0.26,0.67,/Pauper/boros-synthesizer
Jeskai Metalcraft,0.43478260869565,23,0.23,0.66,/Pauper/jeskai-metalcraft
Goblin Combo (MoggWarts),0.47826086956522,23,0.27,0.69,/Pauper/goblin-combo-moggwarts
Mono Green Stompy,0.47826086956522,23,0.27,0.69,/Pauper/mono-green-stompy
Dimir Affinity,0.39130434782609,23,0.2,0.61,/Pauper/dimir-affinity
Infect,0.27272727272727,22,0.11,0.5,/Pauper/infect
Izzet Faeries,0.71428571428571,21,0.48,0.89,/Pauper/izzet-faeries
Retriever Combo,0.35,20,0.15,0.59,/Pauper/retriever-combo
Mono Red Kiln Fiend,0.55,20,0.32,0.77,/Pauper/mono-red-kiln-fiend
Boros Bully,0.73684210526316,19,0.49,0.91,/Pauper/boros-bully
Mono Black Pactdoll,0.5,18,0.26,0.74,/Pauper/mono-black-pactdoll
Mono Black Tron,0.52941176470588,17,0.28,0.77,/Pauper/mono-black-tron
Mono Black Control,0.5625,16,0.3,0.8,/Pauper/mono-black-control
Naya Initiative,0.6,15,0.32,0.84,/Pauper/naya-initiative
Golgari Auras,0.46666666666667,15,0.21,0.73,/Pauper/golgari-auras
Mardu Metalcraft,0.38461538461538,13,0.14,0.68,/Pauper/mardu-metalcraft
Dimir Exhume,0.38461538461538,13,0.14,0.68,/Pauper/dimir-exhume
UB Teachings,0.5,10,0.19,0.81,/Pauper/ub-teachings
Selesnya Gates,0.66666666666667,9,0.3,0.93,/Pauper/selesnya-gates
Tireless Tribe Combo,0.625,8,0.24,0.91,/Pauper/tireless-tribe-combo
Mono Red Dredge,0.25,8,0.03,0.65,/Pauper/mono-red-dredge
Grixis Control,0.42857142857143,7,0.1,0.82,/Pauper/grixis-control
Gruul Landfall,0.14285714285714,7,0.0,0.58,/Pauper/gruul-landfall
Rebels,0.14285714285714,7,0.0,0.58,/Pauper/rebels
Orzhov Ephemerate,0.42857142857143,7,0.1,0.82,/Pauper/orzhov-ephemerate
Azorius Affinity,0.42857142857143,7,0.1,0.82,/Pauper/azorius-affinity
Esper Metalcraft,0.42857142857143,7,0.1,0.82,/Pauper/esper-metalcraft
Orzhov Pestilence,0.5,6,0.12,0.88,/Pauper/orzhov-pestilence
Goblins,0.5,6,0.12,0.88,/Pauper/goblins
Selesnya Hare,0.16666666666667,6,0.0,0.64,/Pauper/selesnya-hare
Turbo Fog,0.4,5,0.05,0.85,/Pauper/turbo-fog
Mono Black Affinity,0.6,5,0.15,0.95,/Pauper/mono-black-affinity
Mono Red Tron,0.75,4,0.19,0.99,/Pauper/mono-red-tron
Sultai Affinity,0.25,4,0.01,0.81,/Pauper/sultai-affinity
Dimir Abjure,0.25,4,0.01,0.81,/Pauper/dimir-abjure
Dimir Pestilence,0.25,4,0.01,0.81,/Pauper/dimir-pestilence
Mono Green Ramp,0.33333333333333,3,0.01,0.91,/Pauper/mono-green-ramp
Izzet Blitz,1.0,3,0.29,1.0,/Pauper/izzet-blitz
Grixis Terror,0.33333333333333,3,0.01,0.91,/Pauper/grixis-terror
Jeskai Affinity,0.33333333333333,3,0.01,0.91,/Pauper/jeskai-affinity
Golgari Party,0.33333333333333,3,0.01,0.91,/Pauper/golgari-party
