a,b,winrate_a_vs_b,matches,ci_low,ci_high
Mono Red Madness,Mono Red Madness,0.5,414,0.45,0.55
Mono Red Madness,Mono Blue Terror,0.4,387,0.35,0.45
Mono Red Madness,Jund Wildfire,0.55,233,0.48,0.61
Mono Red Madness,Mono Red Rally,0.29,270,0.24,0.35
Mono Red Madness,Rakdos Madness,0.41,210,0.34,0.48
Mono Red Madness,Grixis Affinity,0.47,230,0.41,0.54
Mono Red Madness,Elves,0.71,205,0.64,0.77
Mono Red Madness,Gruul Ramp,0.63,207,0.56,0.7
Mono Red Madness,Mono Blue Faeries,0.48,188,0.41,0.56
Mono Red Madness,Spy Combo,0.56,183,0.48,0.63
Mono Red Madness,White Weenie,0.53,118,0.43,0.62
Mono Red Madness,UB Faeries,0.5,125,0.41,0.59
Mono Red Madness,Caw Gates,0.34,117,0.26,0.44
Mono Red Madness,Mono Black Sacrifice,0.56,86,0.45,0.67
Mono Red Madness,Golgari Gardens,0.53,93,0.42,0.63
Mono Red Madness,UWx Familiar,0.56,117,0.47,0.66
Mono Red Madness,Esper Affinity,0.46,97,0.36,0.57
Mono Red Madness,Dimir Terror,0.42,93,0.32,0.53
Mono Red Madness,GW Bogles,0.39,70,0.27,0.51
Mono Red Madness,Gruul Ponza,0.52,58,0.38,0.65
Mono Red Madness,Altar Tron,0.49,61,0.36,0.62
Mono Red Madness,Mono Red Synthesizer,0.41,64,0.29,0.54
Mono Red Madness,Mono White Heroic,0.48,42,0.32,0.64
Mono Red Madness,Orzhov Blade,0.54,46,0.39,0.69
Mono Red Madness,Izzet Skred,0.3,33,0.16,0.49
Mono Red Madness,Dredge,0.63,35,0.45,0.79
Mono Red Madness,Jeskai Ephemerate,0.5,38,0.33,0.67
Mono Red Madness,Flicker Tron,0.61,33,0.42,0.77
Mono Red Madness,Mono Red Burn,0.5,14,0.23,0.77
Mono Red Madness,Defender Combo,0.71,35,0.54,0.85
Mono Red Madness,Mardu Metalcraft,0.54,26,0.33,0.73
Mono Red Madness,Jeskai Metalcraft,0.58,24,0.37,0.78
Mono Red Madness,Dimir Affinity,0.6,15,0.32,0.84
Mono Blue Terror,Mono Red Madness,0.6,387,0.55,0.65
Mono Blue Terror,Mono Blue Terror,0.5,360,0.45,0.55
Mono Blue Terror,Jund Wildfire,0.42,232,0.36,0.49
Mono Blue Terror,Mono Red Rally,0.46,268,0.39,0.52
Mono Blue Terror,Rakdos Madness,0.49,209,0.42,0.56
Mono Blue Terror,Grixis Affinity,0.49,203,0.42,0.56
Mono Blue Terror,Elves,0.28,193,0.22,0.35
Mono Blue Terror,Gruul Ramp,0.52,174,0.44,0.59
Mono Blue Terror,Mono Blue Faeries,0.36,168,0.28,0.43
Mono Blue Terror,Spy Combo,0.4,126,0.31,0.49
Mono Blue Terror,White Weenie,0.38,125,0.3,0.48
Mono Blue Terror,UB Faeries,0.38,101,0.28,0.48
Mono Blue Terror,Caw Gates,0.37,110,0.28,0.47
Mono Blue Terror,Mono Black Sacrifice,0.39,93,0.29,0.49
Mono Blue Terror,Golgari Gardens,0.51,102,0.41,0.61
Mono Blue Terror,UWx Familiar,0.66,93,0.55,0.75
Mono Blue Terror,Esper Affinity,0.41,93,0.31,0.52
Mono Blue Terror,Dimir Terror,0.51,69,0.38,0.63
Mono Blue Terror,GW Bogles,0.74,72,0.62,0.83
Mono Blue Terror,Gruul Ponza,0.47,55,0.34,0.61
Mono Blue Terror,Altar Tron,0.53,58,0.4,0.67
Mono Blue Terror,Mono Red Synthesizer,0.44,55,0.3,0.58
Mono Blue Terror,Mono White Heroic,0.38,34,0.22,0.56
Mono Blue Terror,Orzhov Blade,0.26,31,0.12,0.45
Mono Blue Terror,Izzet Skred,0.49,35,0.31,0.66
Mono Blue Terror,Dredge,0.33,27,0.17,0.54
Mono Blue Terror,Jeskai Ephemerate,0.45,40,0.29,0.62
Mono Blue Terror,Flicker Tron,0.76,42,0.61,0.88
Mono Blue Terror,Mono Red Burn,0.66,35,0.48,0.81
Mono Blue Terror,Defender Combo,0.41,32,0.24,0.59
Mono Blue Terror,Mardu Metalcraft,0.75,24,0.53,0.9
Mono Blue Terror,Jeskai Metalcraft,0.38,16,0.15,0.65
Mono Blue Terror,Dimir Affinity,0.43,14,0.18,0.71
Jund Wildfire,Mono Red Madness,0.45,233,0.39,0.52
Jund Wildfire,Mono Blue Terror,0.58,232,0.51,0.64
Jund Wildfire,Jund Wildfire,0.5,178,0.42,0.58
Jund Wildfire,Mono Red Rally,0.41,133,0.32,0.49
Jund Wildfire,Rakdos Madness,0.5,147,0.41,0.58
Jund Wildfire,Grixis Affinity,0.49,151,0.41,0.57
Jund Wildfire,Elves,0.54,145,0.45,0.62
Jund Wildfire,Gruul Ramp,0.44,125,0.35,0.53
Jund Wildfire,Mono Blue Faeries,0.51,100,0.41,0.61
Jund Wildfire,Spy Combo,0.47,114,0.38,0.57
Jund Wildfire,White Weenie,0.54,95,0.43,0.64
Jund Wildfire,UB Faeries,0.58,72,0.46,0.7
Jund Wildfire,Caw Gates,0.47,88,0.36,0.58
Jund Wildfire,Mono Black Sacrifice,0.68,60,0.55,0.8
Jund Wildfire,Golgari Gardens,0.34,61,0.23,0.48
Jund Wildfire,UWx Familiar,0.42,77,0.3,0.53
Jund Wildfire,Esper Affinity,0.51,67,0.38,0.63
Jund Wildfire,Dimir Terror,0.72,61,0.59,0.83
Jund Wildfire,GW Bogles,0.51,49,0.36,0.66
Jund Wildfire,Gruul Ponza,0.45,40,0.29,0.62
Jund Wildfire,Altar Tron,0.33,40,0.19,0.49
Jund Wildfire,Mono Red Synthesizer,0.58,38,0.41,0.74
Jund Wildfire,Mono White Heroic,0.43,30,0.25,0.63
Jund Wildfire,Orzhov Blade,0.77,31,0.59,0.9
Jund Wildfire,Izzet Skred,0.67,30,0.47,0.83
Jund Wildfire,Dredge,0.5,26,0.3,0.7
Jund Wildfire,Jeskai Ephemerate,0.61,23,0.39,0.8
Jund Wildfire,Flicker Tron,0.67,21,0.43,0.85
Jund Wildfire,Mono Red Burn,0.5,28,0.31,0.69
Jund Wildfire,Defender Combo,0.67,21,0.43,0.85
Jund Wildfire,Mardu Metalcraft,0.57,14,0.29,0.82
Jund Wildfire,Jeskai Metalcraft,0.39,18,0.17,0.64
Jund Wildfire,Dimir Affinity,0.67,9,0.3,0.93
Mono Red Rally,Mono Red Madness,0.71,270,0.65,0.76
Mono Red Rally,Mono Blue Terror,0.54,268,0.48,0.61
Mono Red Rally,Jund Wildfire,0.59,133,0.51,0.68
Mono Red Rally,Mono Red Rally,0.5,146,0.42,0.58
Mono Red Rally,Rakdos Madness,0.68,161,0.6,0.75
Mono Red Rally,Grixis Affinity,0.49,154,0.41,0.57
Mono Red Rally,Elves,0.56,126,0.47,0.65
Mono Red Rally,Gruul Ramp,0.32,117,0.23,0.41
Mono Red Rally,Mono Blue Faeries,0.44,120,0.35,0.54
Mono Red Rally,Spy Combo,0.33,104,0.24,0.43
Mono Red Rally,White Weenie,0.36,102,0.27,0.46
Mono Red Rally,UB Faeries,0.61,97,0.5,0.71
Mono Red Rally,Caw Gates,0.42,78,0.31,0.54
Mono Red Rally,Mono Black Sacrifice,0.58,77,0.47,0.7
Mono Red Rally,Golgari Gardens,0.63,65,0.5,0.75
Mono Red Rally,UWx Familiar,0.41,54,0.28,0.55
Mono Red Rally,Esper Affinity,0.51,55,0.37,0.65
Mono Red Rally,Dimir Terror,0.57,58,0.43,0.7
Mono Red Rally,GW Bogles,0.47,45,0.32,0.62
Mono Red Rally,Gruul Ponza,0.55,33,0.36,0.72
Mono Red Rally,Altar Tron,0.73,44,0.57,0.85
Mono Red Rally,Mono Red Synthesizer,0.55,29,0.36,0.74
Mono Red Rally,Mono White Heroic,0.26,31,0.12,0.45
Mono Red Rally,Orzhov Blade,0.47,32,0.29,0.65
Mono Red Rally,Izzet Skred,0.5,22,0.28,0.72
Mono Red Rally,Dredge,0.46,26,0.27,0.67
Mono Red Rally,Jeskai Ephemerate,0.53,30,0.34,0.72
Mono Red Rally,Flicker Tron,0.64,22,0.41,0.83
Mono Red Rally,Mono Red Burn,0.55,20,0.32,0.77
Mono Red Rally,Defender Combo,0.27,15,0.08,0.55
Mono Red Rally,Mardu Metalcraft,0.67,9,0.3,0.93
Mono Red Rally,Jeskai Metalcraft,0.65,17,0.38,0.86
Mono Red Rally,Dimir Affinity,0.82,11,0.48,0.98
Rakdos Madness,Mono Red Madness,0.59,210,0.52,0.66
