a,b,winrate_a_vs_b,matches,ci_low,ci_high
Goblins,Goblins,0.5,44,0.35,0.65
Goblins,Stiflenought,0.51,35,0.34,0.69
Goblins,Burn,0.61,31,0.42,0.78
Goblins,Terrageddon,0.19,26,0.07,0.39
Goblins,Mono Black,0.48,23,0.27,0.69
Goblins,Enchantress,0.3,20,0.12,0.54
Goblins,Landstill,0.71,17,0.44,0.9
Goblins,Elves,0.67,15,0.38,0.88
Goblins,Stasis,0.33,15,0.12,0.62
Goblins,Psychatog,0.58,19,0.33,0.8
Goblins,The Rock,0.33,9,0.07,0.7
Goblins,Devourer Combo,0.36,11,0.11,0.69
Goblins,Oath Ponza,0.22,9,0.03,0.6
Goblins,BW Control,0.17,12,0.02,0.48
Goblins,Madness,0.57,7,0.18,0.9
Goblins,Replenish,0.5,6,0.12,0.88
Goblins,Gro-a-Tog,0.56,9,0.21,0.86
Goblins,Reanimator,0.57,7,0.18,0.9
Goblins,Full English Breakfast,0.43,7,0.1,0.82
Goblins,The Solution,0.5,8,0.16,0.84
Goblins,UW Control,0.55,11,0.23,0.83
Goblins,GW Madness,0.5,4,0.07,0.93
Goblins,Aluren,0.5,4,0.07,0.93
Goblins,White Weenie,0.78,9,0.4,0.97
Goblins,Clerics,1.0,4,0.4,1.0
Goblins,Survival,1.0,2,0.16,1.0
Goblins,Zoo,0.5,10,0.19,0.81
Goblins,Deadguy Ale,0.33,3,0.01,0.91
Goblins,Angry Hermit,0.25,4,0.01,0.81
Goblins,Pit Rack,0.6,5,0.15,0.95
Goblins,Zombie Infestation,0.6,5,0.15,0.95
Goblins,Contamination,0.25,4,0.01,0.81
Goblins,Tinker Welder,0.33,3,0.01,0.91
Goblins,MUD,0.0,4,0.0,0.6
Goblins,Storm,1.0,6,0.54,1.0
Goblins,Ponza,0.5,6,0.12,0.88
Goblins,Oath Spec,0.33,3,0.01,0.91
Goblins,Survival Welder,0.67,3,0.09,0.99
Goblins,Astral Slide,0.67,6,0.22,0.96
Goblins,Machine Head,0.0,3,0.0,0.71
Goblins,Tireless Tribe Combo,0.0,2,0.0,0.84
Goblins,Survival Opposition,0.5,2,0.01,0.99
Goblins,UW Midrange,0.5,2,0.01,0.99
Stiflenought,Goblins,0.49,35,0.31,0.66
Stiflenought,Stiflenought,0.5,40,0.34,0.66
Stiflenought,Burn,0.81,26,0.61,0.93
Stiflenought,Terrageddon,0.5,20,0.27,0.73
Stiflenought,Mono Black,0.45,20,0.23,0.68
Stiflenought,Enchantress,0.37,30,0.2,0.56
Stiflenought,Landstill,0.29,17,0.1,0.56
Stiflenought,Elves,0.44,18,0.22,0.69
Stiflenought,Stasis,0.5,8,0.16,0.84
Stiflenought,Psychatog,0.4,10,0.12,0.74
Stiflenought,The Rock,0.4,10,0.12,0.74
Stiflenought,Devourer Combo,0.75,8,0.35,0.97
Stiflenought,Oath Ponza,0.33,9,0.07,0.7
Stiflenought,BW Control,0.5,6,0.12,0.88
Stiflenought,Madness,0.5,4,0.07,0.93
Stiflenought,Replenish,0.57,7,0.18,0.9
Stiflenought,Gro-a-Tog,0.44,9,0.14,0.79
Stiflenought,Reanimator,1.0,5,0.48,1.0
Stiflenought,Full English Breakfast,0.67,6,0.22,0.96
Stiflenought,The Solution,0.2,10,0.03,0.56
Stiflenought,UW Control,0.71,7,0.29,0.96
Stiflenought,GW Madness,0.6,5,0.15,0.95
Stiflenought,Aluren,1.0,3,0.29,1.0
Stiflenought,White Weenie,0.25,4,0.01,0.81
Stiflenought,Clerics,0.17,6,0.0,0.64
Stiflenought,Survival,0.67,6,0.22,0.96
Stiflenought,Zoo,0.63,8,0.24,0.91
Stiflenought,Deadguy Ale,0.0,2,0.0,0.84
Stiflenought,Angry Hermit,0.4,5,0.05,0.85
Stiflenought,Pit Rack,1.0,4,0.4,1.0
Stiflenought,Zombie Infestation,0.57,7,0.18,0.9
Stiflenought,Contamination,0.75,4,0.19,0.99
Stiflenought,Tinker Welder,0.67,3,0.09,0.99
Stiflenought,Storm,1.0,2,0.16,1.0
Stiflenought,Ponza,0.5,6,0.12,0.88
Stiflenought,Oath Spec,1.0,3,0.29,1.0
Stiflenought,Survival Welder,0.75,4,0.19,0.99
Stiflenought,Astral Slide,1.0,1,0.02,1.0
Stiflenought,Machine Head,0.0,1,0.0,0.98
Stiflenought,Tireless Tribe Combo,1.0,1,0.02,1.0
Stiflenought,Survival Opposition,1.0,1,0.02,1.0
Stiflenought,UW Midrange,0.0,1,0.0,0.98
Burn,Goblins,0.39,31,0.22,0.58
Burn,Stiflenought,0.19,26,0.07,0.39
Burn,Burn,0.5,28,0.31,0.69
Burn,Terrageddon,0.55,22,0.32,0.76
Burn,Mono Black,0.54,13,0.25,0.81
Burn,Enchantress,0.41,17,0.18,0.67
Burn,Landstill,0.6,15,0.32,0.84
Burn,Elves,0.5,14,0.23,0.77
Burn,Stasis,0.36,14,0.13,0.65
Burn,Psychatog,0.71,7,0.29,0.96
Burn,The Rock,0.31,13,0.09,0.61
Burn,Devourer Combo,0.4,5,0.05,0.85
Burn,Oath Ponza,0.47,15,0.21,0.73
Burn,BW Control,0.7,10,0.35,0.93
Burn,Madness,0.63,8,0.24,0.91
Burn,Replenish,0.67,9,0.3,0.93
Burn,Gro-a-Tog,0.82,11,0.48,0.98
Burn,Reanimator,0.0,12,0.0,0.26
Burn,Full English Breakfast,0.67,3,0.09,0.99
Burn,The Solution,0.6,10,0.26,0.88
Burn,UW Control,0.75,4,0.19,0.99
Burn,GW Madness,0.38,8,0.09,0.76
Burn,Aluren,0.29,7,0.04,0.71
Burn,White Weenie,0.2,5,0.01,0.72
Burn,Clerics,0.0,1,0.0,0.98
Burn,Survival,0.33,3,0.01,0.91
Burn,Zoo,0.0,1,0.0,0.98
Burn,Deadguy Ale,0.6,5,0.15,0.95
Burn,Angry Hermit,0.33,3,0.01,0.91
Burn,Pit Rack,0.25,4,0.01,0.81
Burn,Zombie Infestation,0.2,5,0.01,0.72
Burn,Contamination,0.4,5,0.05,0.85
Burn,Tinker Welder,0.5,6,0.12,0.88
Burn,MUD,0.67,3,0.09,0.99
Burn,Storm,1.0,1,0.02,1.0
Burn,Ponza,0.6,5,0.15,0.95
Burn,Oath Spec,0.0,1,0.0,0.98
Burn,Survival Welder,0.5,2,0.01,0.99
Burn,Astral Slide,0.4,5,0.05,0.85
Burn,Machine Head,1.0,1,0.02,1.0
Burn,Tireless Tribe Combo,0.0,1,0.0,0.98
Burn,Survival Opposition,0.0,3,0.0,0.71
Burn,UW Midrange,1.0,1,0.02,1.0
Terrageddon,Goblins,0.81,26,0.61,0.93
Terrageddon,Stiflenought,0.5,20,0.27,0.73
Terrageddon,Burn,0.45,22,0.24,0.68
Terrageddon,Terrageddon,0.5,20,0.27,0.73
Terrageddon,Mono Black,0.67,12,0.35,0.9
Terrageddon,Enchantress,0.69,16,0.41,0.89
Terrageddon,Landstill,0.5,4,0.07,0.93
Terrageddon,Elves,0.5,12,0.21,0.79
Terrageddon,Stasis,0.25,8,0.03,0.65
Terrageddon,Psychatog,0.33,3,0.01,0.91
Terrageddon,The Rock,0.25,8,0.03,0.65
Terrageddon,Devourer Combo,0.25,4,0.01,0.81
Terrageddon,Oath Ponza,0.67,9,0.3,0.93
Terrageddon,BW Control,0.8,5,0.28,0.99
Terrageddon,Madness,0.4,5,0.05,0.85
Terrageddon,Replenish,0.25,4,0.01,0.81
Terrageddon,Gro-a-Tog,0.67,6,0.22,0.96
Terrageddon,Reanimator,0.5,2,0.01,0.99
Terrageddon,Full English Breakfast,1.0,2,0.16,1.0
Terrageddon,UW Control,0.25,4,0.01,0.81
Terrageddon,GW Madness,0.5,6,0.12,0.88
Terrageddon,Aluren,1.0,3,0.29,1.0
Terrageddon,White Weenie,0.33,6,0.04,0.78
Terrageddon,Clerics,0.5,2,0.01,0.99
Terrageddon,Survival,0.67,3,0.09,0.99
Terrageddon,Deadguy Ale,0.33,3,0.01,0.91
Terrageddon,Angry Hermit,1.0,2,0.16,1.0
Terrageddon,Pit Rack,1.0,1,0.02,1.0
Terrageddon,Zombie Infestation,0.67,3,0.09,0.99
Terrageddon,Contamination,0.67,3,0.09,0.99
Terrageddon,Tinker Welder,1.0,1,0.02,1.0
Terrageddon,MUD,1.0,3,0.29,1.0
Terrageddon,Storm,1.0,1,0.02,1.0
Terrageddon,Oath Spec,0.0,1,0.0,0.98
Terrageddon,Survival Welder,0.5,2,0.01,0.99
Terrageddon,Astral Slide,1.0,1,0.02,1.0
Terrageddon,Machine Head,0.0,1,0.0,0.98
Terrageddon,Tireless Tribe Combo,0.0,1,0.0,0.98
Terrageddon,Survival Opposition,0.0,2,0.0,0.84
Mono Black,Goblins,0.52,23,0.31,0.73
Mono Black,Stiflenought,0.55,20,0.32,0.77
