archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Simic Ouroboroid,0.51959264998893,4517,0.5,0.53,/Standard/simic-ouroboroid
Izzet Lessons,0.51031512128769,4411,0.5,0.53,/Standard/izzet-lessons
Jeskai Control,0.51100955546323,2407,0.49,0.53,/Standard/jeskai-control
Dimir Midrange,0.48562848562849,2331,0.47,0.51,/Standard/dimir-midrange
Sultai Reanimator,0.48600386100386,2072,0.46,0.51,/Standard/sultai-reanimator
Bant Airbending,0.54761904761905,1302,0.52,0.57,/Standard/bant-airbending
Mono-Red Aggro,0.49400684931507,1168,0.46,0.52,/Standard/mono-red-aggro
Mono Green Landfall,0.5748031496063,1143,0.55,0.6,/Standard/mono-green-landfall
Izzet Looting,0.4878612716763,865,0.45,0.52,/Standard/izzet-looting
Boros Burn,0.46417910447761,670,0.43,0.5,/Standard/boros-burn
Selesnya Landfall,0.53958333333333,480,0.49,0.58,/Standard/selesnya-landfall
Azorius Control,0.49315068493151,438,0.45,0.54,/Standard/azorius-control
Golgari Ouroboroid,0.50117096018735,427,0.45,0.55,/Standard/golgari-ouroboroid
4 Color Rhythm,0.45301204819277,415,0.4,0.5,/Standard/4-color-rhythm
Izzet Splash,0.50724637681159,414,0.46,0.56,/Standard/izzet-splash
Allies,0.47790055248619,362,0.43,0.53,/Standard/allies
Izzet Prowess,0.5,316,0.44,0.56,/Standard/izzet-prowess
Jeskai Artifacts,0.40594059405941,303,0.35,0.46,/Standard/jeskai-artifacts
Izzet Elementals,0.63879598662207,299,0.58,0.69,/Standard/izzet-elementals
Azorius Flash,0.56877323420074,269,0.51,0.63,/Standard/azorius-flash
Temur Otters,0.47148288973384,263,0.41,0.53,/Standard/temur-otters
4 Color Control,0.50602409638554,249,0.44,0.57,/Standard/4-color-control
Simic Omniscience,0.4364406779661,236,0.37,0.5,/Standard/simic-omniscience
Esper Pixie,0.49295774647887,213,0.42,0.56,/Standard/esper-pixie
Temur Lessons,0.55868544600939,213,0.49,0.63,/Standard/temur-lessons
Boros Dragons,0.48913043478261,184,0.41,0.56,/Standard/boros-dragons
Mono Red Leyline,0.42405063291139,158,0.35,0.51,/Standard/mono-red-leyline
Bant Omniscience,0.57046979865772,149,0.49,0.65,/Standard/bant-omniscience
Sultai Elementals,0.47945205479452,146,0.4,0.56,/Standard/sultai-elementals
Dimir Bounce,0.40601503759398,133,0.32,0.49,/Standard/dimir-bounce
Gruul Delirium,0.49090909090909,110,0.39,0.59,/Standard/gruul-delirium
Jeskai Pixie,0.53846153846154,104,0.44,0.64,/Standard/jeskai-pixie
4 Color Songcrafter,0.53921568627451,102,0.44,0.64,/Standard/4-color-songcrafter
Mono Black Midrange,0.39795918367347,98,0.3,0.5,/Standard/mono-black-midrange
Golgari Roots,0.45263157894737,95,0.35,0.56,/Standard/golgari-roots
Boros Aggro,0.37234042553191,94,0.27,0.48,/Standard/boros-aggro
Dimir Control,0.50537634408602,93,0.4,0.61,/Standard/dimir-control
Grixis Elementals,0.59302325581395,86,0.48,0.7,/Standard/grixis-elementals
Mono White Tokens,0.51807228915663,83,0.41,0.63,/Standard/mono-white-tokens
Temur Landfall,0.64864864864865,74,0.53,0.76,/Standard/temur-landfall
Mono Green Ouroboroid,0.49315068493151,73,0.37,0.61,/Standard/mono-green-ouroboroid
Orzhov Midrange,0.41176470588235,68,0.29,0.54,/Standard/orzhov-midrange
Bant Rhythm,0.40983606557377,61,0.29,0.54,/Standard/bant-rhythm
Boros Mice,0.48214285714286,56,0.35,0.62,/Standard/boros-mice
4 Color Elementals,0.57142857142857,56,0.43,0.7,/Standard/4-color-elementals
Izzet Omniscience,0.40740740740741,54,0.28,0.55,/Standard/izzet-omniscience
Selesnya Gearhulk,0.61538461538462,52,0.47,0.75,/Standard/selesnya-gearhulk
Gruul Ouroboroid,0.55769230769231,52,0.41,0.7,/Standard/gruul-ouroboroid
Orzhov Lifegain,0.35294117647059,51,0.22,0.5,/Standard/orzhov-lifegain
Boros Tokens,0.51020408163265,49,0.36,0.66,/Standard/boros-tokens
Azorius Flyers,0.44897959183673,49,0.31,0.6,/Standard/azorius-flyers
Selesnya Cage,0.45833333333333,48,0.31,0.61,/Standard/selesnya-cage
Golgari Graveyard,0.52083333333333,48,0.37,0.67,/Standard/golgari-graveyard
Golgari Midrange,0.53191489361702,47,0.38,0.68,/Standard/golgari-midrange
Rakdos Monument,0.57446808510638,47,0.42,0.72,/Standard/rakdos-monument
Boros Weapons,0.41860465116279,43,0.27,0.58,/Standard/boros-weapons
