a,b,winrate_a_vs_b,matches,ci_low,ci_high
Izzet Lessons,Izzet Lessons,0.5,884,0.47,0.53
Izzet Lessons,Simic Rhythm,0.5,802,0.47,0.54
Izzet Lessons,Dimir Midrange,0.53,500,0.49,0.58
Izzet Lessons,Mono Green Landfall,0.45,374,0.4,0.5
Izzet Lessons,Jeskai Control,0.57,378,0.52,0.62
Izzet Lessons,Sultai Reanimator,0.47,286,0.41,0.53
Izzet Lessons,Izzet Elementals,0.51,217,0.44,0.58
Izzet Lessons,Mono-Red Aggro,0.42,222,0.36,0.49
Izzet Lessons,Bant Airbending,0.48,226,0.41,0.55
Izzet Lessons,Dimir Excruciator,0.6,187,0.53,0.67
Izzet Lessons,Azorius Flash,0.38,159,0.3,0.46
Izzet Lessons,Izzet Prowess,0.46,115,0.37,0.56
Izzet Lessons,Boros Dragons,0.58,110,0.48,0.68
Izzet Lessons,Izzet Looting,0.41,126,0.33,0.5
Izzet Lessons,Boros Burn,0.52,115,0.43,0.62
Izzet Lessons,Temur Landfall,0.42,73,0.31,0.55
Izzet Lessons,Azorius Control,0.65,80,0.54,0.75
Izzet Lessons,4 Color Rhythm,0.45,31,0.27,0.64
Izzet Lessons,Selesnya Landfall,0.45,95,0.35,0.56
Izzet Lessons,Izzet Splash,0.53,59,0.39,0.66
Izzet Lessons,Golgari Ouroboroid,0.46,70,0.34,0.58
Izzet Lessons,4 Color Control,0.69,58,0.55,0.8
Izzet Lessons,Grixis Elementals,0.37,49,0.23,0.52
Izzet Lessons,Rakdos Monument,0.62,47,0.46,0.75
Izzet Lessons,Allies,0.48,52,0.34,0.62
Izzet Lessons,Jeskai Artifacts,0.6,45,0.44,0.74
Izzet Lessons,Simic Omniscience,0.69,35,0.51,0.83
Izzet Lessons,Temur Ouroboroid,0.68,38,0.51,0.82
Izzet Lessons,Temur Lessons,0.39,31,0.22,0.58
Simic Rhythm,Izzet Lessons,0.5,802,0.46,0.53
Simic Rhythm,Simic Rhythm,0.5,712,0.46,0.54
Simic Rhythm,Dimir Midrange,0.58,408,0.53,0.63
Simic Rhythm,Mono Green Landfall,0.66,298,0.6,0.71
Simic Rhythm,Jeskai Control,0.4,378,0.35,0.46
Simic Rhythm,Sultai Reanimator,0.62,299,0.56,0.67
Simic Rhythm,Izzet Elementals,0.26,137,0.18,0.34
Simic Rhythm,Mono-Red Aggro,0.47,198,0.4,0.54
Simic Rhythm,Bant Airbending,0.44,185,0.37,0.52
Simic Rhythm,Dimir Excruciator,0.45,104,0.35,0.55
Simic Rhythm,Azorius Flash,0.42,89,0.31,0.53
Simic Rhythm,Izzet Prowess,0.36,96,0.27,0.47
Simic Rhythm,Boros Dragons,0.32,65,0.21,0.45
Simic Rhythm,Izzet Looting,0.61,117,0.51,0.7
Simic Rhythm,Boros Burn,0.56,103,0.46,0.66
Simic Rhythm,Temur Landfall,0.36,42,0.22,0.52
Simic Rhythm,Azorius Control,0.31,67,0.21,0.44
Simic Rhythm,4 Color Rhythm,0.39,70,0.27,0.51
Simic Rhythm,Selesnya Landfall,0.6,77,0.48,0.71
Simic Rhythm,Izzet Splash,0.54,68,0.42,0.67
Simic Rhythm,Golgari Ouroboroid,0.64,45,0.49,0.78
Simic Rhythm,4 Color Control,0.47,58,0.33,0.6
Simic Rhythm,Grixis Elementals,0.3,20,0.12,0.54
Simic Rhythm,Rakdos Monument,0.78,27,0.58,0.91
Simic Rhythm,Allies,0.68,62,0.55,0.79
Simic Rhythm,Jeskai Artifacts,0.64,44,0.48,0.78
Simic Rhythm,Simic Omniscience,0.74,38,0.57,0.87
Simic Rhythm,Temur Ouroboroid,0.44,36,0.28,0.62
Simic Rhythm,Temur Lessons,0.49,37,0.32,0.66
Dimir Midrange,Izzet Lessons,0.47,500,0.42,0.51
Dimir Midrange,Simic Rhythm,0.42,408,0.37,0.47
Dimir Midrange,Dimir Midrange,0.5,276,0.44,0.56
Dimir Midrange,Mono Green Landfall,0.43,216,0.36,0.49
Dimir Midrange,Jeskai Control,0.59,228,0.52,0.65
Dimir Midrange,Sultai Reanimator,0.58,151,0.49,0.66
Dimir Midrange,Izzet Elementals,0.58,108,0.48,0.68
Dimir Midrange,Mono-Red Aggro,0.42,139,0.34,0.51
Dimir Midrange,Bant Airbending,0.43,99,0.33,0.54
Dimir Midrange,Dimir Excruciator,0.61,122,0.51,0.69
Dimir Midrange,Azorius Flash,0.61,75,0.49,0.72
Dimir Midrange,Izzet Prowess,0.46,85,0.35,0.57
Dimir Midrange,Boros Dragons,0.36,56,0.23,0.5
Dimir Midrange,Izzet Looting,0.49,76,0.37,0.6
Dimir Midrange,Boros Burn,0.47,58,0.33,0.6
Dimir Midrange,Temur Landfall,0.7,46,0.54,0.82
Dimir Midrange,Azorius Control,0.58,52,0.43,0.71
Dimir Midrange,4 Color Rhythm,0.4,35,0.24,0.58
Dimir Midrange,Selesnya Landfall,0.65,51,0.5,0.78
Dimir Midrange,Izzet Splash,0.56,43,0.4,0.71
Dimir Midrange,Golgari Ouroboroid,0.31,36,0.16,0.48
Dimir Midrange,4 Color Control,0.45,40,0.29,0.62
Dimir Midrange,Grixis Elementals,0.59,22,0.36,0.79
Dimir Midrange,Rakdos Monument,0.54,24,0.33,0.74
Dimir Midrange,Allies,0.52,27,0.32,0.71
Dimir Midrange,Jeskai Artifacts,0.68,37,0.5,0.82
Dimir Midrange,Simic Omniscience,0.69,29,0.49,0.85
Dimir Midrange,Temur Ouroboroid,0.26,23,0.1,0.48
Dimir Midrange,Temur Lessons,0.18,22,0.05,0.4
Mono Green Landfall,Izzet Lessons,0.55,374,0.5,0.6
Mono Green Landfall,Simic Rhythm,0.34,298,0.29,0.4
Mono Green Landfall,Dimir Midrange,0.57,216,0.51,0.64
Mono Green Landfall,Mono Green Landfall,0.5,254,0.44,0.56
Mono Green Landfall,Jeskai Control,0.76,155,0.69,0.83
Mono Green Landfall,Sultai Reanimator,0.6,96,0.5,0.7
Mono Green Landfall,Izzet Elementals,0.57,196,0.49,0.64
Mono Green Landfall,Mono-Red Aggro,0.7,115,0.61,0.79
Mono Green Landfall,Bant Airbending,0.37,81,0.27,0.48
Mono Green Landfall,Dimir Excruciator,0.64,148,0.55,0.71
Mono Green Landfall,Azorius Flash,0.66,112,0.57,0.75
Mono Green Landfall,Izzet Prowess,0.49,116,0.4,0.59
Mono Green Landfall,Boros Dragons,0.55,77,0.43,0.66
