archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Izzet Lessons,0.51299524564184,6310,0.5,0.53,/Standard/izzet-lessons
Simic Rhythm,0.51500555761393,5398,0.5,0.53,/Standard/simic-rhythm
Dimir Midrange,0.49673573658814,3523,0.48,0.51,/Standard/dimir-midrange
Mono Green Landfall,0.5684702738811,2994,0.55,0.59,/Standard/mono-green-landfall
Jeskai Control,0.48574373067674,2911,0.47,0.5,/Standard/jeskai-control
Sultai Reanimator,0.47884940778342,2364,0.46,0.5,/Standard/sultai-reanimator
Izzet Elementals,0.54189944134078,1790,0.52,0.57,/Standard/izzet-elementals
Mono-Red Aggro,0.49673977474807,1687,0.47,0.52,/Standard/mono-red-aggro
Bant Airbending,0.54518252543387,1671,0.52,0.57,/Standard/bant-airbending
Dimir Excruciator,0.49716446124764,1587,0.47,0.52,/Standard/dimir-excruciator
Azorius Flash,0.52684824902724,1285,0.5,0.55,/Standard/azorius-flash
Izzet Prowess,0.5442930153322,1174,0.52,0.57,/Standard/izzet-prowess
Boros Dragons,0.50804597701149,870,0.47,0.54,/Standard/boros-dragons
Izzet Looting,0.48774509803922,816,0.45,0.52,/Standard/izzet-looting
Boros Burn,0.45287958115183,764,0.42,0.49,/Standard/boros-burn
Temur Landfall,0.53055141579732,671,0.49,0.57,/Standard/temur-landfall
Azorius Control,0.47203947368421,608,0.43,0.51,/Standard/azorius-control
4 Color Rhythm,0.45913043478261,575,0.42,0.5,/Standard/4-color-rhythm
Selesnya Landfall,0.52364273204904,571,0.48,0.57,/Standard/selesnya-landfall
Izzet Splash,0.46788990825688,545,0.43,0.51,/Standard/izzet-splash
Golgari Ouroboroid,0.48689956331878,458,0.44,0.53,/Standard/golgari-ouroboroid
4 Color Control,0.50219298245614,456,0.46,0.55,/Standard/4-color-control
Grixis Elementals,0.52825552825553,407,0.48,0.58,/Standard/grixis-elementals
Rakdos Monument,0.46542553191489,376,0.41,0.52,/Standard/rakdos-monument
Allies,0.47326203208556,374,0.42,0.53,/Standard/allies
Jeskai Artifacts,0.41104294478528,326,0.36,0.47,/Standard/jeskai-artifacts
Simic Omniscience,0.4375,320,0.38,0.49,/Standard/simic-omniscience
Temur Ouroboroid,0.5224358974359,312,0.47,0.58,/Standard/temur-ouroboroid
Gruul Landfall,0.53198653198653,297,0.47,0.59,/Standard/gruul-landfall
Dimir Control,0.46067415730337,267,0.4,0.52,/Standard/dimir-control
Esper Pixie,0.4904214559387,261,0.43,0.55,/Standard/esper-pixie
Temur Lessons,0.56175298804781,251,0.5,0.62,/Standard/temur-lessons
Bant Omniscience,0.54976303317536,211,0.48,0.62,/Standard/bant-omniscience
Mono Red Leyline,0.44502617801047,191,0.37,0.52,/Standard/mono-red-leyline
Sultai Elementals,0.44623655913978,186,0.37,0.52,/Standard/sultai-elementals
Dimir Bounce,0.4375,176,0.36,0.51,/Standard/dimir-bounce
Mono Black Midrange,0.43352601156069,173,0.36,0.51,/Standard/mono-black-midrange
Temur Otters,0.47727272727273,132,0.39,0.57,/Standard/temur-otters
4 Color Songcrafter,0.50393700787402,127,0.41,0.59,/Standard/4-color-songcrafter
Gruul Delirium,0.496,125,0.41,0.59,/Standard/gruul-delirium
Golgari Roots,0.43859649122807,114,0.35,0.53,/Standard/golgari-roots
Jeskai Pixie,0.53846153846154,104,0.44,0.64,/Standard/jeskai-pixie
Boros Aggro,0.38235294117647,102,0.29,0.48,/Standard/boros-aggro
Mono White Tokens,0.48514851485149,101,0.38,0.59,/Standard/mono-white-tokens
Simic Ouroboroid,0.43820224719101,89,0.33,0.55,/Standard/simic-ouroboroid
Esper Oculus,0.27380952380952,84,0.18,0.38,/Standard/esper-oculus
